EM,EN,unicode,label,strategy,image,predicted_label,generated_text
🎮👬👬,full game,U+1F3AE U+1F46C U+1F46C,1,1,./generated_img_dataset/test_google/134.png,0,user:  does this emoji sequence mean 'full game'? answer yes or no. assistant: no.
🎫🧑👨🧑‍🦱👩‍🦱🈵,full auditorium,U+1F3AB U+1F9D1 U+1F468 U+1F9D1 U+200D U+1F9B1 U+1F469 U+200D U+1F9B1 U+1F235,1,1,./generated_img_dataset/test_google/135.png,0,user:  does this emoji sequence mean 'full auditorium'? answer yes or no. assistant: no.
🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🕍,full auditorium,U+1F9CD U+200D U+2642 U+FE0F U+1F9CD U+200D U+2642 U+FE0F U+1F9CD U+200D U+2642 U+FE0F U+1F9CD U+200D U+2642 U+FE0F U+1F9CD U+200D U+2642 U+FE0F U+1F9CD U+200D U+2642 U+FE0F U+1F9CD U+200D U+2642 U+FE0F U+1F9CD U+200D U+2642 U+FE0F U+1F9CD U+200D U+2642 U+FE0F U+1F54D,1,3,./generated_img_dataset/test_google/136.png,0,<SKIPPED_OR_ERROR>
👩‍💻👨‍💻🏫,full auditorium,U+1F469 U+200D U+1F4BB U+1F468 U+200D U+1F4BB U+1F3EB,1,1,./generated_img_dataset/test_google/137.png,0,user:  does this emoji sequence mean 'full auditorium'? answer yes or no. assistant: no.
❌🛸🏟️,full auditorium,U+274C U+1F6F8 U+1F3DF U+FE0F,1,0,./generated_img_dataset/test_google/138.png,1,user:  does this emoji sequence mean 'full auditorium'? answer yes or no. assistant: yes.
🈵🏫,full auditorium,U+1F235 U+1F3EB,1,0,./generated_img_dataset/test_google/139.png,0,user:  does this emoji sequence mean 'full auditorium'? answer yes or no. assistant: no.
⛽🏫,full auditorium,U+26FD U+1F3EB,1,0,./generated_img_dataset/test_google/140.png,0,user:  does this emoji sequence mean 'full auditorium'? answer yes or no. assistant: no.
🎟️🎟️🎭,full auditorium,U+1F39F U+FE0F U+1F39F U+FE0F U+1F3AD,1,1,./generated_img_dataset/test_google/141.png,0,user:  does this emoji sequence mean 'full auditorium'? answer yes or no. assistant: no.
💯❗,full attention,U+1F4AF U+2757,1,0,./generated_img_dataset/test_google/142.png,0,user:  does this emoji sequence mean 'full attention'? answer yes or no. assistant: no.
👩🧐🤯,full attention,U+1F469 U+1F9D0 U+1F92F,1,1,./generated_img_dataset/test_google/143.png,0,user:  does this emoji sequence mean 'full attention'? answer yes or no. assistant: no.
💯❗,full attention,U+1F4AF U+2757,1,0,./generated_img_dataset/test_google/144.png,0,user:  does this emoji sequence mean 'full attention'? answer yes or no. assistant: no.
🤓👨‍💻👨‍🏫👨‍🎓,full attention,U+1F913 U+1F468 U+200D U+1F4BB U+1F468 U+200D U+1F3EB U+1F468 U+200D U+1F393,1,2,./generated_img_dataset/test_google/145.png,0,user:  does this emoji sequence mean 'full attention'? answer yes or no. assistant: no.
🧐✍️,full attention,U+1F9D0 U+270D U+FE0F,1,1,./generated_img_dataset/test_google/146.png,0,user:  does this emoji sequence mean 'full attention'? answer yes or no. assistant: no.
👨‍✈️,full attention,U+1F468 U+200D U+2708 U+FE0F,1,4,./generated_img_dataset/test_google/147.png,0,user:  does this emoji sequence mean 'full attention'? answer yes or no. assistant: no.
🙋‍♂️🦻🏫,full attention,U+1F64B U+200D U+2642 U+FE0F U+1F9BB U+1F3EB,1,1,./generated_img_dataset/test_google/148.png,0,user:  does this emoji sequence mean 'full attention'? answer yes or no. assistant: no.
🥛➕🚰🚰🚰🚰🚰🈵,full glass,U+1F95B U+2795 U+1F6B0 U+1F6B0 U+1F6B0 U+1F6B0 U+1F6B0 U+1F235,1,1,./generated_img_dataset/test_google/149.png,1,user:  does this emoji sequence mean 'full glass'? answer yes or no. assistant: yes.
🥛🈵,full glass,U+1F95B U+1F235,1,0,./generated_img_dataset/test_google/150.png,0,user:  does this emoji sequence mean 'full glass'? answer yes or no. assistant: no.
💯🥛,full glass,U+1F4AF U+1F95B,1,0,./generated_img_dataset/test_google/151.png,0,user:  does this emoji sequence mean 'full glass'? answer yes or no. assistant: no.
🚰🥛,full glass,U+1F6B0 U+1F95B,1,1,./generated_img_dataset/test_google/152.png,1,user:  does this emoji sequence mean 'full glass'? answer yes or no. assistant: yes.
🚰✅,full glass,U+1F6B0 U+2705,1,0,./generated_img_dataset/test_google/153.png,0,user:  does this emoji sequence mean 'full glass'? answer yes or no. assistant: no.
🍺,full glass,U+1F37A,1,4,./generated_img_dataset/test_google/154.png,1,user:  does this emoji sequence mean 'full glass'? answer yes or no. assistant: yes.
🥛🥂,full glass,U+1F95B U+1F942,1,2,./generated_img_dataset/test_google/155.png,1,user:  does this emoji sequence mean 'full glass'? answer yes or no. assistant: yes.
♥️👨‍👩‍👧‍👦💼💰💰💰💯,full life,U+2665 U+FE0F U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466 U+1F4BC U+1F4B0 U+1F4B0 U+1F4B0 U+1F4AF,1,1,./generated_img_dataset/test_google/156.png,0,user:  does this emoji sequence mean 'full life'? answer yes or no. assistant: no.
🎑🏔️🌄,full life,U+1F391 U+1F3D4 U+FE0F U+1F304,1,2,./generated_img_dataset/test_google/157.png,0,user:  does this emoji sequence mean 'full life'? answer yes or no. assistant: no.
🥰☺️🏡,full life,U+1F970 U+263A U+FE0F U+1F3E1,1,1,./generated_img_dataset/test_google/158.png,0,user:  does this emoji sequence mean 'full life'? answer yes or no. assistant: no.
🎉😊😌🤗🥳🤩,full life,U+1F389 U+1F60A U+1F60C U+1F917 U+1F973 U+1F929,1,1,./generated_img_dataset/test_google/159.png,0,user:  does this emoji sequence mean 'full life'? answer yes or no. assistant: no.
😊♥️,full life,U+1F60A U+2665 U+FE0F,1,1,./generated_img_dataset/test_google/160.png,0,user:  does this emoji sequence mean 'full life'? answer yes or no. assistant: no.
🥵🤣🥵🤣,full life,U+1F975 U+1F923 U+1F975 U+1F923,1,1,./generated_img_dataset/test_google/161.png,0,user:  does this emoji sequence mean 'full life'? answer yes or no. assistant: no.
😆🥳💑,full life,U+1F606 U+1F973 U+1F491,1,0,./generated_img_dataset/test_google/162.png,0,user:  does this emoji sequence mean 'full life'? answer yes or no. assistant: no.
👦,little boy,U+1F466,1,4,./generated_img_dataset/test_google/163.png,1,user:  does this emoji sequence mean 'little boy'? answer yes or no. assistant: yes.
👦🧍,little boy,U+1F466 U+1F9CD,1,2,./generated_img_dataset/test_google/164.png,1,user:  does this emoji sequence mean 'little boy'? answer yes or no. assistant: yes.
🤏👶👦,little boy,U+1F90F U+1F476 U+1F466,1,0,./generated_img_dataset/test_google/165.png,1,user:  does this emoji sequence mean 'little boy'? answer yes or no. assistant: yes.
👦,little boy,U+1F466,1,4,./generated_img_dataset/test_google/166.png,1,user:  does this emoji sequence mean 'little boy'? answer yes or no. assistant: yes.
👇🏻👦,little boy,U+1F447 U+1F3FB U+1F466,1,0,./generated_img_dataset/test_google/167.png,1,user:  does this emoji sequence mean 'little boy'? answer yes or no. assistant: yes.
👦👈👶,little boy,U+1F466 U+1F448 U+1F476,1,1,./generated_img_dataset/test_google/168.png,1,user:  does this emoji sequence mean 'little boy'? answer yes or no. assistant: yes.
👦🏻,little boy,U+1F466 U+1F3FB,1,4,./generated_img_dataset/test_google/169.png,1,user:  does this emoji sequence mean 'little boy'? answer yes or no. assistant: yes.
🤏👦,little boy,U+1F90F U+1F466,1,0,./generated_img_dataset/test_google/170.png,1,user:  does this emoji sequence mean 'little boy'? answer yes or no. assistant: yes.
🧔‍♂️,little man,U+1F9D4 U+200D U+2642 U+FE0F,1,4,./generated_img_dataset/test_google/171.png,0,user:  does this emoji sequence mean 'little man'? answer yes or no. assistant: no.
🧍↕️🤏,little man,U+1F9CD U+2195 U+FE0F U+1F90F,1,0,./generated_img_dataset/test_google/172.png,0,user:  does this emoji sequence mean 'little man'? answer yes or no. assistant: no.
👦🧑‍🦰,little man,U+1F466 U+1F9D1 U+200D U+1F9B0,1,2,./generated_img_dataset/test_google/173.png,0,user:  does this emoji sequence mean 'little man'? answer yes or no. assistant: no.
🤏🧍‍♂️,little man,U+1F90F U+1F9CD U+200D U+2642 U+FE0F,1,0,./generated_img_dataset/test_google/174.png,1,user:  does this emoji sequence mean 'little man'? answer yes or no. assistant: yes.
👇🏻🚶‍♂️,little man,U+1F447 U+1F3FB U+1F6B6 U+200D U+2642 U+FE0F,1,0,./generated_img_dataset/test_google/175.png,1,user:  does this emoji sequence mean 'little man'? answer yes or no. assistant: yes.
💪👦,little man,U+1F4AA U+1F466,1,1,./generated_img_dataset/test_google/176.png,1,user:  does this emoji sequence mean 'little man'? answer yes or no. assistant: yes.
🤏🏻👨🏻,little man,U+1F90F U+1F3FB U+1F468 U+1F3FB,1,0,./generated_img_dataset/test_google/177.png,1,user:  does this emoji sequence mean 'little man'? answer yes or no. assistant: yes.
🤏👱‍♂️,little man,U+1F90F U+1F471 U+200D U+2642 U+FE0F,1,0,./generated_img_dataset/test_google/178.png,1,user:  does this emoji sequence mean 'little man'? answer yes or no. assistant: yes.
🏠,little house,U+1F3E0,1,4,./generated_img_dataset/test_google/179.png,1,user:  does this emoji sequence mean 'little house'? answer yes or no. assistant: yes.
🏠↕️🤏,little house,U+1F3E0 U+2195 U+FE0F U+1F90F,1,0,./generated_img_dataset/test_google/180.png,1,user:  does this emoji sequence mean 'little house'? answer yes or no. assistant: yes.
🏠🔽,little house,U+1F3E0 U+1F53D,1,0,./generated_img_dataset/test_google/181.png,1,user:  does this emoji sequence mean 'little house'? answer yes or no. assistant: yes.
🤏🏡,little house,U+1F90F U+1F3E1,1,0,./generated_img_dataset/test_google/182.png,1,user:  does this emoji sequence mean 'little house'? answer yes or no. assistant: yes.
🖼️🏡,little house,U+1F5BC U+FE0F U+1F3E1,1,0,./generated_img_dataset/test_google/183.png,1,user:  does this emoji sequence mean 'little house'? answer yes or no. assistant: yes.
🏚️,little house,U+1F3DA U+FE0F,1,4,./generated_img_dataset/test_google/184.png,1,user:  does this emoji sequence mean 'little house'? answer yes or no. assistant: yes.
🤏🏻🏠,little house,U+1F90F U+1F3FB U+1F3E0,1,0,./generated_img_dataset/test_google/185.png,1,user:  does this emoji sequence mean 'little house'? answer yes or no. assistant: yes.
🤏🏠,little house,U+1F90F U+1F3E0,1,0,./generated_img_dataset/test_google/186.png,1,user:  does this emoji sequence mean 'little house'? answer yes or no. assistant: yes.
🛢️,thin oil,U+1F6E2 U+FE0F,1,4,./generated_img_dataset/test_google/187.png,0,user:  does this emoji sequence mean 'thin oil'? answer yes or no. assistant: no.
♨️🪔,thin oil,U+2668 U+FE0F U+1FA94,1,0,./generated_img_dataset/test_google/188.png,0,user:  does this emoji sequence mean 'thin oil'? answer yes or no. assistant: no.
🤏🪔,thin oil,U+1F90F U+1FA94,1,0,./generated_img_dataset/test_google/189.png,0,user:  does this emoji sequence mean 'thin oil'? answer yes or no. assistant: no.
💧🪔,thin oil,U+1F4A7 U+1FA94,1,1,./generated_img_dataset/test_google/190.png,0,user:  does this emoji sequence mean 'thin oil'? answer yes or no. assistant: no.
🤏🛢️,thin oil,U+1F90F U+1F6E2 U+FE0F,1,0,./generated_img_dataset/test_google/191.png,0,user:  does this emoji sequence mean 'thin oil'? answer yes or no. assistant: no.
🤏🥃,thin oil,U+1F90F U+1F943,1,0,./generated_img_dataset/test_google/192.png,0,user:  does this emoji sequence mean 'thin oil'? answer yes or no. assistant: no.
🤏📏🛢️,thin oil,U+1F90F U+1F4CF U+1F6E2 U+FE0F,1,0,./generated_img_dataset/test_google/193.png,0,user:  does this emoji sequence mean 'thin oil'? answer yes or no. assistant: no.
🤏👨‍🍳🛢️,thin oil,U+1F90F U+1F468 U+200D U+1F373 U+1F6E2 U+FE0F,1,0,./generated_img_dataset/test_google/194.png,0,user:  does this emoji sequence mean 'thin oil'? answer yes or no. assistant: no.
🍲👎,thin soup,U+1F372 U+1F44E,1,1,./generated_img_dataset/test_google/195.png,0,user:  does this emoji sequence mean 'thin soup'? answer yes or no. assistant: no.
♨️,thin soup,U+2668 U+FE0F,1,4,./generated_img_dataset/test_google/196.png,0,user:  does this emoji sequence mean 'thin soup'? answer yes or no. assistant: no.
💧🥫,thin soup,U+1F4A7 U+1F96B,1,1,./generated_img_dataset/test_google/197.png,0,user:  does this emoji sequence mean 'thin soup'? answer yes or no. assistant: no.
💦💦🥣,thin soup,U+1F4A6 U+1F4A6 U+1F963,1,1,./generated_img_dataset/test_google/198.png,0,user:  does this emoji sequence mean 'thin soup'? answer yes or no. assistant: no.
🍜,thin soup,U+1F35C,1,4,./generated_img_dataset/test_google/199.png,0,user:  does this emoji sequence mean 'thin soup'? answer yes or no. assistant: no.
🤏🫕,thin soup,U+1F90F U+1FAD5,1,0,./generated_img_dataset/test_google/200.png,1,user:  does this emoji sequence mean 'thin soup'? answer yes or no. assistant: yes.
🤏📏🥣,thin soup,U+1F90F U+1F4CF U+1F963,1,0,./generated_img_dataset/test_google/201.png,0,user:  does this emoji sequence mean 'thin soup'? answer yes or no. assistant: no.
🤏🥣,thin soup,U+1F90F U+1F963,1,0,./generated_img_dataset/test_google/202.png,0,user:  does this emoji sequence mean 'thin soup'? answer yes or no. assistant: no.
🌫️,thin air,U+1F32B U+FE0F,1,4,./generated_img_dataset/test_google/203.png,1,user:  does this emoji sequence mean 'thin air'? answer yes or no. assistant: yes.
♨️,thin air,U+2668 U+FE0F,1,4,./generated_img_dataset/test_google/204.png,0,user:  does this emoji sequence mean 'thin air'? answer yes or no. assistant: no.
🤏🍃,thin air,U+1F90F U+1F343,1,0,./generated_img_dataset/test_google/205.png,0,user:  does this emoji sequence mean 'thin air'? answer yes or no. assistant: no.
🍃,thin air,U+1F343,1,4,./generated_img_dataset/test_google/206.png,0,user:  does this emoji sequence mean 'thin air'? answer yes or no. assistant: no.
😵‍💫💨,thin air,U+1F635 U+200D U+1F4AB U+1F4A8,1,1,./generated_img_dataset/test_google/207.png,1,user:  does this emoji sequence mean 'thin air'? answer yes or no. assistant: yes.
🍃🤏,thin air,U+1F343 U+1F90F,1,0,./generated_img_dataset/test_google/208.png,0,user:  does this emoji sequence mean 'thin air'? answer yes or no. assistant: no.
🤏📏💨,thin air,U+1F90F U+1F4CF U+1F4A8,1,0,./generated_img_dataset/test_google/209.png,1,user:  does this emoji sequence mean 'thin air'? answer yes or no. assistant: yes.
🤌🏻🌬️,thin air,U+1F90C U+1F3FB U+1F32C U+FE0F,1,0,./generated_img_dataset/test_google/210.png,1,user:  does this emoji sequence mean 'thin air'? answer yes or no. assistant: yes.
🤏✍️,thin line,U+1F90F U+270D U+FE0F,1,0,./generated_img_dataset/test_google/211.png,0,user:  does this emoji sequence mean 'thin line'? answer yes or no. assistant: no.
♨️✏️📝,thin line,U+2668 U+FE0F U+270F U+FE0F U+1F4DD,1,0,./generated_img_dataset/test_google/212.png,0,user:  does this emoji sequence mean 'thin line'? answer yes or no. assistant: no.
🤏📏,thin line,U+1F90F U+1F4CF,1,0,./generated_img_dataset/test_google/213.png,0,user:  does this emoji sequence mean 'thin line'? answer yes or no. assistant: no.
📝,thin line,U+1F4DD,1,4,./generated_img_dataset/test_google/214.png,0,user:  does this emoji sequence mean 'thin line'? answer yes or no. assistant: no.
📏🤏📉,thin line,U+1F4CF U+1F90F U+1F4C9,1,0,./generated_img_dataset/test_google/215.png,0,user:  does this emoji sequence mean 'thin line'? answer yes or no. assistant: no.
🤏🖊️,thin line,U+1F90F U+1F58A U+FE0F,1,0,./generated_img_dataset/test_google/216.png,0,user:  does this emoji sequence mean 'thin line'? answer yes or no. assistant: no.
🤏📏➖,thin line,U+1F90F U+1F4CF U+2796,1,0,./generated_img_dataset/test_google/217.png,0,user:  does this emoji sequence mean 'thin line'? answer yes or no. assistant: no.
🤌🏻〰️,thin line,U+1F90C U+1F3FB U+3030 U+FE0F,1,0,./generated_img_dataset/test_google/218.png,0,user:  does this emoji sequence mean 'thin line'? answer yes or no. assistant: no.
🤴👑📉👎,ineffectual ruler,U+1F934 U+1F451 U+1F4C9 U+1F44E,1,1,./generated_img_dataset/test_google/219.png,1,user:  does this emoji sequence mean 'ineffectual ruler'? answer yes or no. assistant: yes.
👎📏,ineffectual ruler,U+1F44E U+1F4CF,1,0,./generated_img_dataset/test_google/220.png,1,user:  does this emoji sequence mean 'ineffectual ruler'? answer yes or no. assistant: yes.
👎🤴👸,ineffectual ruler,U+1F44E U+1F934 U+1F478,1,0,./generated_img_dataset/test_google/221.png,1,user:  does this emoji sequence mean 'ineffectual ruler'? answer yes or no. assistant: yes.
🧑‍💻👩‍💻👨‍💻👎👎,ineffectual ruler,U+1F9D1 U+200D U+1F4BB U+1F469 U+200D U+1F4BB U+1F468 U+200D U+1F4BB U+1F44E U+1F44E,1,0,./generated_img_dataset/test_google/222.png,0,user:  does this emoji sequence mean 'ineffectual ruler'? answer yes or no. assistant: no.
❌🤴,ineffectual ruler,U+274C U+1F934,1,0,./generated_img_dataset/test_google/223.png,1,user:  does this emoji sequence mean 'ineffectual ruler'? answer yes or no. assistant: yes.
:pouting_face:👮,ineffectual ruler,U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A U+1F46E,1,1,./generated_img_dataset/test_google/224.png,0,<SKIPPED_OR_ERROR>
🏰👑👎👎👎👬👭:pouting_face:,ineffectual ruler,U+1F3F0 U+1F451 U+1F44E U+1F44E U+1F44E U+1F46C U+1F46D U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A,1,1,./generated_img_dataset/test_google/225.png,0,<SKIPPED_OR_ERROR>
👑🙅,ineffectual ruler,U+1F451 U+1F645,1,0,./generated_img_dataset/test_google/226.png,1,user:  does this emoji sequence mean 'ineffectual ruler'? answer yes or no. assistant: yes.
👂🧏‍♀️👎😒,ineffectual therapy,U+1F442 U+1F9CF U+200D U+2640 U+FE0F U+1F44E U+1F612,1,1,./generated_img_dataset/test_google/227.png,0,user:  does this emoji sequence mean 'ineffectual therapy'? answer yes or no. assistant: no.
👎💆,ineffectual therapy,U+1F44E U+1F486,1,0,./generated_img_dataset/test_google/228.png,0,user:  does this emoji sequence mean 'ineffectual therapy'? answer yes or no. assistant: no.
👎🏥,ineffectual therapy,U+1F44E U+1F3E5,1,0,./generated_img_dataset/test_google/229.png,0,user:  does this emoji sequence mean 'ineffectual therapy'? answer yes or no. assistant: no.
🧑👂❌❌,ineffectual therapy,U+1F9D1 U+1F442 U+274C U+274C,1,1,./generated_img_dataset/test_google/230.png,0,user:  does this emoji sequence mean 'ineffectual therapy'? answer yes or no. assistant: no.
❌💆‍♂️👨‍⚕️,ineffectual therapy,U+274C U+1F486 U+200D U+2642 U+FE0F U+1F468 U+200D U+2695 U+FE0F,1,0,./generated_img_dataset/test_google/231.png,0,user:  does this emoji sequence mean 'ineffectual therapy'? answer yes or no. assistant: no.
🗒️❌💀,ineffectual therapy,U+1F5D2 U+FE0F U+274C U+1F480,1,0,./generated_img_dataset/test_google/232.png,0,user:  does this emoji sequence mean 'ineffectual therapy'? answer yes or no. assistant: no.
👨‍⚕️🗣️🧠👎☹️,ineffectual therapy,U+1F468 U+200D U+2695 U+FE0F U+1F5E3 U+FE0F U+1F9E0 U+1F44E U+2639 U+FE0F,1,1,./generated_img_dataset/test_google/233.png,1,user:  does this emoji sequence mean 'ineffectual therapy'? answer yes or no. assistant: yes.
💊🙅‍♀️,ineffectual therapy,U+1F48A U+1F645 U+200D U+2640 U+FE0F,1,0,./generated_img_dataset/test_google/234.png,0,user:  does this emoji sequence mean 'ineffectual therapy'? answer yes or no. assistant: no.
👍🪜,effective step,U+1F44D U+1FA9C,1,1,./generated_img_dataset/test_google/235.png,0,user:  does this emoji sequence mean 'effective step'? answer yes or no. assistant: no.
👍👣➡️,effective step,U+1F44D U+1F463 U+27A1 U+FE0F,1,0,./generated_img_dataset/test_google/236.png,0,user:  does this emoji sequence mean 'effective step'? answer yes or no. assistant: no.
👏🪜,effective step,U+1F44F U+1FA9C,1,1,./generated_img_dataset/test_google/237.png,0,user:  does this emoji sequence mean 'effective step'? answer yes or no. assistant: no.
👍👣💡💬,effective step,U+1F44D U+1F463 U+1F4A1 U+1F4AC,1,1,./generated_img_dataset/test_google/238.png,0,user:  does this emoji sequence mean 'effective step'? answer yes or no. assistant: no.
💯💯💯✨,effective step,U+1F4AF U+1F4AF U+1F4AF U+2728,1,1,./generated_img_dataset/test_google/239.png,0,user:  does this emoji sequence mean 'effective step'? answer yes or no. assistant: no.
👍🚶,effective step,U+1F44D U+1F6B6,1,0,./generated_img_dataset/test_google/240.png,0,user:  does this emoji sequence mean 'effective step'? answer yes or no. assistant: no.
💨🪜,effective step,U+1F4A8 U+1FA9C,1,1,./generated_img_dataset/test_google/241.png,0,user:  does this emoji sequence mean 'effective step'? answer yes or no. assistant: no.
👍👣,effective step,U+1F44D U+1F463,1,0,./generated_img_dataset/test_google/242.png,0,user:  does this emoji sequence mean 'effective step'? answer yes or no. assistant: no.
👍🤬,effective reprimand,U+1F44D U+1F92C,1,0,./generated_img_dataset/test_google/243.png,0,user:  does this emoji sequence mean 'effective reprimand'? answer yes or no. assistant: no.
😤🗣️💬,effective reprimand,U+1F624 U+1F5E3 U+FE0F U+1F4AC,1,1,./generated_img_dataset/test_google/244.png,0,user:  does this emoji sequence mean 'effective reprimand'? answer yes or no. assistant: no.
🗣️🧏‍♀️👍,effective reprimand,U+1F5E3 U+FE0F U+1F9CF U+200D U+2640 U+FE0F U+1F44D,1,0,./generated_img_dataset/test_google/245.png,0,user:  does this emoji sequence mean 'effective reprimand'? answer yes or no. assistant: no.
👍😠:pouting_face:😤,effective reprimand,U+1F44D U+1F620 U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A U+1F624,1,0,./generated_img_dataset/test_google/246.png,0,<SKIPPED_OR_ERROR>
😤😤😔😔😔😥,effective reprimand,U+1F624 U+1F624 U+1F614 U+1F614 U+1F614 U+1F625,1,1,./generated_img_dataset/test_google/247.png,0,user:  does this emoji sequence mean 'effective reprimand'? answer yes or no. assistant: no.
:pouting_face:👍,effective reprimand,U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A U+1F44D,1,0,./generated_img_dataset/test_google/248.png,0,<SKIPPED_OR_ERROR>
💨🤬,effective reprimand,U+1F4A8 U+1F92C,1,1,./generated_img_dataset/test_google/249.png,0,user:  does this emoji sequence mean 'effective reprimand'? answer yes or no. assistant: no.
👍😤,effective reprimand,U+1F44D U+1F624,1,0,./generated_img_dataset/test_google/250.png,0,user:  does this emoji sequence mean 'effective reprimand'? answer yes or no. assistant: no.
👍🚪,effective entrance,U+1F44D U+1F6AA,1,0,./generated_img_dataset/test_google/251.png,0,user:  does this emoji sequence mean 'effective entrance'? answer yes or no. assistant: no.
👍🚪🧑,effective entrance,U+1F44D U+1F6AA U+1F9D1,1,0,./generated_img_dataset/test_google/252.png,0,user:  does this emoji sequence mean 'effective entrance'? answer yes or no. assistant: no.
💃👏,effective entrance,U+1F483 U+1F44F,1,1,./generated_img_dataset/test_google/253.png,0,user:  does this emoji sequence mean 'effective entrance'? answer yes or no. assistant: no.
👍🚪,effective entrance,U+1F44D U+1F6AA,1,0,./generated_img_dataset/test_google/254.png,0,user:  does this emoji sequence mean 'effective entrance'? answer yes or no. assistant: no.
🚪🥂,effective entrance,U+1F6AA U+1F942,1,1,./generated_img_dataset/test_google/255.png,0,user:  does this emoji sequence mean 'effective entrance'? answer yes or no. assistant: no.
👍➡️,effective entrance,U+1F44D U+27A1 U+FE0F,1,1,./generated_img_dataset/test_google/256.png,0,user:  does this emoji sequence mean 'effective entrance'? answer yes or no. assistant: no.
💨🚪,effective entrance,U+1F4A8 U+1F6AA,1,1,./generated_img_dataset/test_google/257.png,0,user:  does this emoji sequence mean 'effective entrance'? answer yes or no. assistant: no.
👍🚪🔓,effective entrance,U+1F44D U+1F6AA U+1F513,1,0,./generated_img_dataset/test_google/258.png,0,user:  does this emoji sequence mean 'effective entrance'? answer yes or no. assistant: no.
💪🧍‍♂️,big business,U+1F4AA U+1F9CD U+200D U+2642 U+FE0F,0,6,./generated_img_dataset/test_google/259.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
🏙️↕️↔️,big business,U+1F3D9 U+FE0F U+2195 U+FE0F U+2194 U+FE0F,0,6,./generated_img_dataset/test_google/260.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
💴💴💆‍♂️💇‍♂️,big business,U+1F4B4 U+1F4B4 U+1F486 U+200D U+2642 U+FE0F U+1F487 U+200D U+2642 U+FE0F,0,6,./generated_img_dataset/test_google/261.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦,big business,U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466,0,6,./generated_img_dataset/test_google/262.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
💴💴💆‍♂️💇‍♂️,big business,U+1F4B4 U+1F4B4 U+1F486 U+200D U+2642 U+FE0F U+1F487 U+200D U+2642 U+FE0F,0,6,./generated_img_dataset/test_google/263.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
🌇❗,big business,U+1F307 U+2757,0,6,./generated_img_dataset/test_google/264.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
👫👭👨‍👨‍👧‍👧👬👨‍👨‍👧,big business,U+1F46B U+1F46D U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467 U+1F46C U+1F468 U+200D U+1F468 U+200D U+1F467,0,6,./generated_img_dataset/test_google/265.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
🧔‍♂️💰,big business,U+1F9D4 U+200D U+2642 U+FE0F U+1F4B0,0,6,./generated_img_dataset/test_google/266.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
❗📆,big expenditure,U+2757 U+1F4C6,0,6,./generated_img_dataset/test_google/267.png,0,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: no.
🌇❗,big expenditure,U+1F307 U+2757,0,6,./generated_img_dataset/test_google/268.png,0,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: no.
👰‍♂️👰‍♀️🤵‍♂️🤵‍♀️,big expenditure,U+1F470 U+200D U+2642 U+FE0F U+1F470 U+200D U+2640 U+FE0F U+1F935 U+200D U+2642 U+FE0F U+1F935 U+200D U+2640 U+FE0F,0,6,./generated_img_dataset/test_google/269.png,0,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: no.
🪙🪙,big expenditure,U+1FA99 U+1FA99,0,6,./generated_img_dataset/test_google/270.png,1,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: yes.
🌇❗,big expenditure,U+1F307 U+2757,0,6,./generated_img_dataset/test_google/271.png,0,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: no.
❗📆,big expenditure,U+2757 U+1F4C6,0,6,./generated_img_dataset/test_google/272.png,0,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: no.
