sent1,sent2,label,strategy
📂,clear case,1,4
🔎💡,clear idea,1,0
✔️💡,clear idea,1,0
🧠😲🆗,clear idea,1,1
🪟💡,clear idea,1,0
✔️💡,clear idea,1,0
🤔💭💡✅,clear idea,1,1
📑👍🏻,clear idea,1,0
🔎🗣️,clear explanation,1,0
✔️🗣️,clear explanation,1,0
💬😲🆗,clear explanation,1,0
👩‍🏫💯🗣️,clear explanation,1,1
🗣️💡,clear explanation,1,1
🤔❔👨‍🏫🗣️💡✅😀,clear explanation,1,1
👍🏻🗣️,clear explanation,1,0
🔎🥛,clear glass,1,0
✔️🥛,clear glass,1,0
🥃✨,clear glass,1,1
👓🥃,clear glass,1,0
✔️🥛,clear glass,1,0
👓🔍✨✨,clear glass,1,0
🥃🔎,clear glass,1,0
🔎💦,clear water,1,0
✔️💧,clear water,1,0
💧💧✨,clear water,1,1
👍💦💧,clear water,1,0
✔️💧,clear water,1,0
💧💧🔬✨❌🦠,clear water,1,1
💧⚪,clear water,1,1
🔎📑,clear-cut evidence,1,0
✔️📃,clear-cut evidence,1,0
📶😮✨👍,clear-cut evidence,1,1
🔍🕵️‍♂️🎉,clear-cut evidence,1,1
🕵️✂️📜,clear-cut evidence,1,0
🔪❓🔬💡✔️,clear-cut evidence,1,1
📜🔎,clear-cut evidence,1,0
🤔🏃‍♀️,unclear action,1,0
❌♟️,unclear action,1,0
🤨🧐🤷‍♀️🤷‍♂️,unclear action,1,2
❓❓❓,unclear action,1,3
🕺🤔,unclear action,1,0
👨‍🏫🗣️📝❓❓❓,unclear action,1,1
❓🤨,unclear action,1,1
🕳️👀,deep trance,1,0
♒😵,deep trance,1,0
😵,deep trance,1,4
😵‍💫,deep trance,1,4
😵‍💫😶,deep trance,1,2
😵‍💫,deep trance,1,4
🧘‍♂️,deep trance,1,4
😵‍💫⬇️,deep trance,1,0
🕳️😮‍💨,deep sigh,1,0
😞😞,deep sigh,1,3
😮‍💨,deep sigh,1,4
😮‍💨,deep sigh,1,4
😮‍💨😥😕,deep sigh,1,2
😮‍💨,deep sigh,1,4
😮‍💨😮‍💨,deep sigh,1,3
😤🌬️,deep sigh,1,1
🕳️✂️,deep cut,1,0
🤕✂️,deep cut,1,1
🔪🔪🔪,deep cut,1,3
🩸😱😵🔪,deep cut,1,1
☝️🔪🩸🩸,deep cut,1,1
✂️🩸,deep cut,1,1
🤕,deep cut,1,4
🩸🤕,deep cut,1,1
🕳️🗣️,deep voice,1,0
🤔🗣️,deep voice,1,1
🐻🎤,deep voice,1,1
🗣️👨‍🦳,deep voice,1,1
🗣️🔊🔽,deep voice,1,0
🗣️,deep voice,1,4
🗣️🧏‍♂️,deep voice,1,1
🗣️⬇️,deep voice,1,0
🕳️😋,deep emotion,1,0
🤔🤔,deep emotion,1,3
😭🌊,deep emotion,1,1
🧐🤯,deep emotion,1,1
⏬😢😭,deep emotion,1,0
🤬🤯😭😔,deep emotion,1,2
😶,deep emotion,1,4
😖🥺😤,deep emotion,1,2
🕳️🤫,deep concentration,1,0
🤔🧐,deep concentration,1,2
😵😵😵,deep concentration,1,3
🧐👩‍💻✏️,deep concentration,1,1
⏬🧐🤓,deep concentration,1,0
🤔,deep concentration,1,4
📖,deep concentration,1,4
📃📄🤓😵‍💫,deep concentration,1,1
🕳️🛌,deep sleep,1,0
😴😪🛌,deep sleep,1,1
😴😴😴,deep sleep,1,3
😪🤤😴😵,deep sleep,1,1
😴🛌:zzz::zzz:,deep sleep,1,1
😪:zzz:,deep sleep,1,1
😴😴,deep sleep,1,3
😴😴:zzz::zzz:,deep sleep,1,1
🕳️😮‍💨,deep breath,1,0
😮🫁,deep breath,1,1
😮‍💨😮‍💨😮‍💨,deep breath,1,3
😮‍💨,deep breath,1,4
🥱😮😮‍💨,deep breath,1,2
😮‍💨,deep breath,1,4
👃💨,deep breath,1,1
🌬️🫁,deep breath,1,1
🧊🥃,cool drink,1,1
🆒🥤,cool drink,1,0
🧊🍾,cool drink,1,1
🧊🍹🍺,cool drink,1,1
🆒🍹,cool drink,1,0
🧊🍸,cool drink,1,1
🥤🧃,cool drink,1,2
💨🥤,cool drink,1,0
🧊👬,cool relation,1,0
🆒🧑‍🤝‍🧑,cool relation,1,0
😎👬,cool relation,1,0
🤜🤛🤝,cool relation,1,1
🆒👫,cool relation,1,0
😶🥶🙎,cool relation,1,0
🧊🧍‍♂️🧍‍♀️,cool relation,1,1
💨👬,cool relation,1,0
🧊🤝,cool reception,1,0
🆒🏨🛎️☎️,cool reception,1,0
😎🎊,cool reception,1,1
🙂☺️👋,cool reception,1,1
🆒💁,cool reception,1,0
😐👋,cool reception,1,1
🧍‍♀️🎙️☎️,cool reception,1,1
💨👩🖥️,cool reception,1,0
🧊🏠,cool room,1,0
🆒🛋️,cool room,1,0
🌡️🥶🏠,cool room,1,0
🥶🧤🧣🌬️🧥🏠,cool room,1,1
🆒🏠,cool room,1,0
❄️💨🏠,cool room,1,1
🧊🏤,cool room,1,0
💨🛌,cool room,1,0
🧊🌬️,cool breeze,1,1
🆒🍃,cool breeze,1,0
🥶💨,cool breeze,1,1
❄️🌬️💨,cool breeze,1,1
🆒🍃,cool breeze,1,0
❄️💨,cool breeze,1,1
🧊🌬️💨,cool breeze,1,1
💨💨,cool breeze,1,3
❌💲💲,inadequate income,1,0
⚠️💰,inadequate income,1,0
😞💰,inadequate income,1,0
💸,inadequate income,1,4
❌💰👛,inadequate income,1,0
🤷💸🏘️,inadequate income,1,1
🤞💵,inadequate income,1,0
📉💰,inadequate income,1,0
❌🧑‍🏫,inadequate training,1,0
⚠️🏃‍♀️💪🏋️,inadequate training,1,1
😣👬👬👭,inadequate training,1,0
🤵🤵‍♂️❌,inadequate training,1,0
❌🤼🤺,inadequate training,1,0
🤷🚈📋,inadequate training,1,0
👎🏋️‍♀️,inadequate training,1,1
🔻🙋🏻‍♀️🏣,inadequate training,1,1
❌🤵,inadequate staff,1,0
⚠️🧑‍🏫👩‍🏫👨‍🏫,inadequate staff,1,0
😖👔,inadequate staff,1,1
❌🧑‍💼👨‍💼,inadequate staff,1,0
❌💁,inadequate staff,1,0
🤷🧑‍💼0️⃣,inadequate staff,1,0
🤏👬🧑‍🤝‍🧑,inadequate staff,1,0
🔻👩‍💼👨‍💼,inadequate staff,1,0
🧖‍♀️💆‍♂️🧖‍♂️😇,idyllic life,1,2
👍🎉,idyllic life,1,1
☺️🌈,idyllic life,1,1
💁💁‍♀️👜💸,idyllic life,1,1
🎉🙌💯👨‍👩‍👧‍👦,idyllic life,1,2
👩🥱😴,idyllic life,1,1
😁🏡🛌,idyllic life,1,1
🕊️,idyllic life,1,4
🖼️🌄,idyllic spot,1,2
👍🔦,idyllic spot,1,0
✨🏞️,idyllic spot,1,1
👍🙆🙆‍♀️💯,idyllic spot,1,1
🎉🙌💯🏖️,idyllic spot,1,0
👩🌴🧉,idyllic spot,1,1
😁🌥️🍱🏕️,idyllic spot,1,1
😃🕶️🌴,idyllic spot,1,1
🏠🏛️👮‍♀️📈🇸🇬,domestic worry,1,1
🏠🥺,domestic worry,1,0
🏠😖,domestic worry,1,0
🏡🥺😟,domestic worry,1,0
🏠😟,domestic worry,1,0
👧😟😰,domestic worry,1,1
😟🏚️💸🥣👶,domestic worry,1,1
🏠🙍‍♀️,domestic worry,1,0
🏡🫂😊🏡,domestic happiness,1,0
🏠😄,domestic happiness,1,0
🏠🥰,domestic happiness,1,0
🏡🥰👪👩‍👩‍👦👨‍👨‍👦👨‍👧👩‍👦,domestic happiness,1,0
🏠😃,domestic happiness,1,0
👧😁😂,domestic happiness,1,2
🏡🥰🍼👶💰,domestic happiness,1,1
😀😃😄,domestic happiness,1,2
🧹🍳🪠🛒🏠,domestic chore,1,1
🏠⌨️,domestic chore,1,1
🏠🧹,domestic chore,1,0
🧹🧼🧴😷,domestic chore,1,2
🏠🧹,domestic chore,1,0
😤🧹🧽🗑️,domestic chore,1,1
🏠😭🧹🗑️🧽🍽️🍽️,domestic chore,1,1
🏠🧹,domestic chore,1,0
🏠🐄🐐🦮🐔🏠,domestic animal,1,2
🏠🐕,domestic animal,1,0
🏠🐶🐱🐰🐹🐭,domestic animal,1,2
😺🐶,domestic animal,1,2
🏠🐶🐱,domestic animal,1,2
🐶🐱🐰,domestic animal,1,2
🏠🐶🐱😍,domestic animal,1,2
🏠🦮,domestic animal,1,1
🧠🤔,intelligent question,1,1
🧠❓💬,intelligent question,1,0
🙋🧠💭🧑‍🎓,intelligent question,1,1
👨‍🎓❓,intelligent question,1,0
💡🗣️❓,intelligent question,1,0
🤔🤓❓,intelligent question,1,0
🧑‍🎓🧠❓,intelligent question,1,0
🧐❓,intelligent question,1,0
👍👨‍🏫,intelligent life,1,1
🧍🧍‍♀️🧍‍♂️,intelligent life,1,2
🧑‍🎓🤓,intelligent life,1,1
🎓👽,intelligent life,1,1
🤖🐾,intelligent life,1,1
🤓🐶🦊🐻🦑🌳🐳🤓,intelligent life,1,2
👨‍🔬🔬🧫🦠🧠🧠,intelligent life,1,2
🤔🤷‍♀️,intelligent life,1,1
🧠💡,intelligent solution,1,0
🧠❗❗,intelligent solution,1,1
🤓🔍,intelligent solution,1,1
🎓🧪,intelligent solution,1,1
💡✅,intelligent solution,1,1
🤓💡,intelligent solution,1,0
🤔💭💡🧠,intelligent solution,1,0
🧠💯,intelligent solution,1,1
🙍‍♀️❤️🙍‍♂️♾️,constant lover,1,1
🔂💑👩‍❤️‍👨👩‍❤️‍👩,constant lover,1,0
💍👰‍♂️👰‍♀️🤵‍♂️💑,constant lover,1,1
❤️🧓👵,constant lover,1,1
🕰️:zzz:🫂,constant lover,1,1
💘👩‍❤️‍👨🔃,constant lover,1,0
👬👨‍❤️‍💋‍👨⏳⌛💞👨‍🦳👨‍🦳,constant lover,1,1
💑😁,constant lover,1,1
♾️💔,constant pain,1,0
🔂😖,constant pain,1,0
🤕🧑‍⚕️,constant pain,1,1
😟😟😟😟😟😟,constant pain,1,3
⏳😣🤕,constant pain,1,1
🔃🤕,constant pain,1,0
🦴🔨🧑‍🦽⏳😭,constant pain,1,1
😥💉🤕,constant pain,1,1
🧠👨‍⚕️🩺,internal organ,1,1
🧠👀🫀,internal organ,1,2
🫀🧠🫁,internal organ,1,2
🫀🫁,internal organ,1,2
🫁🫀,internal organ,1,2
🧠🫀🫁,internal organ,1,2
👨‍💼👈🧠🫀🫁,internal organ,1,1
💉🧬,internal organ,1,0
💭💭,internal sense,1,3
🧬☮️,internal sense,1,1
🤔🤷,internal sense,1,1
🧘‍♀️,internal sense,1,4
🧐🔮,internal sense,1,1
👉👀👈,internal sense,1,1
👨👈💭,internal sense,1,1
🤓🧠,internal sense,1,1
📲🕹️👩‍💻,internal mechanism,1,1
🧬⚙️,internal mechanism,1,1
☸️,internal mechanism,1,4
⚙️⚙️⚙️,internal mechanism,1,3
🔃⚙️,internal mechanism,1,0
👉⚙️⚙️👈,internal mechanism,1,1
😷🦠💊⚔️,internal mechanism,1,1
🦿👩‍🔧,internal mechanism,1,1
❌💦🎨,dry paint,1,0
🖌️🙅💦,dry paint,1,0
🏜️🎨,dry paint,1,0
🚱🎨,dry paint,1,0
🌪️🎨,dry paint,1,1
🌬️💅,dry paint,1,1
☀️🎨,dry paint,1,1
♨️🖌️,dry paint,1,0
🏜️,dry land,1,4
🏝️🏙️☀️,dry land,1,1
🏜️🏝️,dry land,1,2
🥵🏜️🚫🆒,dry land,1,1
🌪️🏝️,dry land,1,1
⛱️🏝️,dry land,1,1
☀️🏜️,dry land,1,1
♨️🌇,dry land,1,1
🏜️🤬,dry critique,1,0
🙎‍♂️🗣️💬,dry critique,1,1
🏜️🗣️,dry critique,1,0
😩🙄✍🏻📝,dry critique,1,1
😤😞,dry critique,1,1
👎🗣️,dry critique,1,0
☀️🤬,dry critique,1,0
♨️🧑‍🏫,dry critique,1,0
🏜️🥳,dry greeting,1,0
👋😒😐😑,dry greeting,1,1
🏜️🙋‍♀️,dry greeting,1,0
😶😐😑👋,dry greeting,1,1
🙋😑😑😑,dry greeting,1,1
👋🙄,dry greeting,1,1
☀️🙋🏻‍♀️,dry greeting,1,0
♨️👋,dry greeting,1,0
🏜️,dry climate,1,4
☀️☀️☀️🥵,dry climate,1,1
🏜️☀️,dry climate,1,1
🚱🏜️🌵,dry climate,1,1
🌵🥵🥵🥵🥵,dry climate,1,1
☀️🌬️,dry climate,1,1
🌵🌡️,dry climate,1,1
♨️🌎🌡️,dry climate,1,1
✈️🗣️,foreign accent,1,0
👽🗣️,foreign accent,1,0
🇻🇪🇲🇪🇲🇲🎙️🗣️,foreign accent,1,1
🔊🤔❓❓,foreign accent,1,1
🇫🇷🇯🇵👩‍🦱,foreign accent,1,1
✈️🗣️👂,foreign accent,1,0
🗣️🤷‍♀️,foreign accent,1,1
🌏🗣️,foreign accent,1,0
✈️🗺️,foreign nation,1,1
👽🇺🇳,foreign nation,1,0
🇻🇪🇲🇪🇲🇲🇺🇳,foreign nation,1,2
❓❓🇧🇱🇲🇵🇩🇬🇹🇦,foreign nation,1,0
🇦🇫🇦🇽🇦🇱,foreign nation,1,2
✈️🏝️,foreign nation,1,1
🧳🇮🇴🇧🇦🇬🇾🇬🇶🎌🇬🇪,foreign nation,1,2
🌏🇬🇧,foreign nation,1,2
✈️🏙️,foreign city,1,1
👽🏙️,foreign city,1,0
🇻🇪🇲🇪🇲🇲🌆,foreign city,1,2
❓❓🌆,foreign city,1,0
🇨🇿🇬🇪🇬🇭,foreign city,1,2
✈️🏝️,foreign city,1,1
🧳🇮🇴,foreign city,1,1
🌏🏙️,foreign city,1,1
❗🇨🇳,delicate china,1,0
⚠️📦🍽️,delicate china,1,1
❌💪🏻🇨🇳☕,delicate china,1,1
💪🇨🇳,delicate china,1,0
🇨🇳😁👍,delicate china,1,0
🫖🍽️🇨🇳,delicate china,1,2
🍽️🙌,delicate china,1,1
🤔🇨🇳,delicate china,1,0
🛑🐝,delicate wing,1,1
⚠️📦🐣,delicate wing,1,1
❌💪🏻🦋,delicate wing,1,0
🐣💸,delicate wing,1,1
🌬️🪡🚣,delicate wing,1,1
🦅🕊️,delicate wing,1,2
🦋,delicate wing,1,4
🤔🕊️,delicate wing,1,1
❕💬,delicate negotiation,1,0
⚠️📦🗣️💬,delicate negotiation,1,0
🧘🕊️☮️🗣️,delicate negotiation,1,1
‼️🗣️,delicate negotiation,1,0
🗣️😃,delicate negotiation,1,1
🤝🕊️☮️,delicate negotiation,1,1
🙋🧏‍♂️🙎‍♂️🙋‍♂️🧏🙎,delicate negotiation,1,1
🤔👥,delicate negotiation,1,1
💞🍜,delicate flavor,1,1
⚠️📦😋,delicate flavor,1,1
❌🌶️👅,delicate flavor,1,0
😈😝,delicate flavor,1,1
😝😋,delicate flavor,1,1
😋👍,delicate flavor,1,1
👅🤔,delicate flavor,1,1
😋🤔,delicate flavor,1,1
🗣️🧏‍♀️,sound explanation,1,1
🤔🧠🔊🗣️☺️👍,sound explanation,1,1
👍🗣️,sound explanation,1,0
🗣️👂👍,sound explanation,1,1
🤔🧠🗣️🙂🆗,sound explanation,1,1
🔈🗣️,sound explanation,1,0
🧑‍🏫🗣️,sound explanation,1,1
🙋🧏‍♀️👍,sound explanation,1,1
👂🗣️,sound explanation,1,1
🧐,sound approach,1,4
🧠🔊🚶,sound approach,1,0
👍⏩,sound approach,1,1
💯💡,sound approach,1,0
🔊🚶,sound approach,1,0
🔈➡️⤵️,sound approach,1,0
👦🔍📝,sound approach,1,1
👍✍️📑,sound approach,1,0
👂📋,sound approach,1,0
😵‍💫,sound thrashing,1,4
🔊👊,sound thrashing,1,0
👍🗑️,sound thrashing,1,0
🗣️🗑️,sound thrashing,1,0
🔊🥊,sound thrashing,1,0
🔈🗑️🚮,sound thrashing,1,0
:pouting_face:🧹😭,sound thrashing,1,1
🔊🙅,sound thrashing,1,0
👂🗑️,sound thrashing,1,0
🤔,sound advice,1,4
🔊🗣️,sound advice,1,0
👍🗣️,sound advice,1,0
🗣️🧏‍♂️💯,sound advice,1,0
🔊🗣️,sound advice,1,0
👍🏻🎙️🗣️,sound advice,1,0
👦🗣️👩🤔👍,sound advice,1,1
👍🧏‍♀️,sound advice,1,1
👂💬,sound advice,1,1
☀️👗,bright future,0,6
✨👗,bright future,0,6
🔆👗,bright future,0,6
🔆👗,bright future,0,6
🔆🚹🚺,bright future,0,6
☀️🏫,bright future,0,6
🔆🚹🚺,bright future,0,6
☀️🏫,bright future,0,6
🔆👗💃,bright sun,0,6
💡🕯️🏠,bright sun,0,6
😎👨‍🔬👩‍⚕️🧑‍💻,bright sun,0,6
🔆🚹🚺,bright sun,0,6
☀️🎨👗,bright sun,0,6
🔆👗💃,bright sun,0,6
🔆🚹🚺,bright sun,0,6
☀️🏫,bright sun,0,6
🔆☀️,bright dress,0,6
✨☀️,bright dress,0,6
☀️🔆,bright dress,0,6
🔆🚹🚺,bright dress,0,6
☀️🔮,bright dress,0,6
☀️🏫,bright dress,0,6
🔆🚹🚺,bright dress,0,6
✨☀️,bright dress,0,6
🔆🔮,bright room,0,6
☀️🎨👗,bright room,0,6
👗✨,bright room,0,6
🔆👗💃,bright room,0,6
☀️🎨👗,bright room,0,6
☀️🌟,bright room,0,6
☀️🔆,bright room,0,6
🔆👗💃,bright room,0,6
🌑🏫🤫㊙️,dark shadow,0,6
😨👹,dark shadow,0,6
🌑❌💡,dark shadow,0,6
😈❓🤷‍♀️,dark shadow,0,6
😈📈,dark shadow,0,6
🌑,dark shadow,0,6
🌑,dark shadow,0,6
🕶️👿,dark shadow,0,6
🌑🌊💦,dark day,0,6
🕶️🏠,dark day,0,6
🌑❌💡,dark day,0,6
🌑,dark day,0,6
🕶️🌊,dark day,0,6
🌑🚹,dark day,0,6
👿,dark day,0,6
🕶️🌊,dark day,0,6
🌑🔞🌊,dark glass,0,6
🌑🪃,dark glass,0,6
👿😈,dark glass,0,6
😨👹,dark glass,0,6
⚫🌊,dark glass,0,6
🌑,dark glass,0,6
🌚,dark glass,0,6
😈📈,dark glass,0,6
❌💡🧍,dark undercurrent,0,6
⚫🧱,dark undercurrent,0,6
👿,dark undercurrent,0,6
🌑,dark undercurrent,0,6
🌑👤,dark undercurrent,0,6
❌💡🧍,dark undercurrent,0,6
❌💡🧍,dark undercurrent,0,6
🌑🚹,dark undercurrent,0,6
🕶️🥛,dark corner,0,6
🌑📆,dark corner,0,6
🕶️🕶️👤,dark corner,0,6
🌑😵💀,dark corner,0,6
👿😈,dark corner,0,6
♠️👿,dark corner,0,6
⚫🥛,dark corner,0,6
🌑🌊💦,dark corner,0,6
🕶️🕶️👤,dark purpose,0,6
♠️👿,dark purpose,0,6
🌑🪃,dark purpose,0,6
🔦🚫🚫,dark purpose,0,6
🌑,dark purpose,0,6
🕶️,dark purpose,0,6
🕶️🕶️,dark purpose,0,6
⛈️🌫️🌑,dark purpose,0,6
🚗🛣️✔️,right bank,0,6
👉🛣️,right bank,0,6
✔️💡👩👍,right bank,0,6
👉🤚,right bank,0,6
✔️📄✍️,right bank,0,6
➡️🤝,right bank,0,6
✔️,right bank,0,6
✔️💡👩👍,right bank,0,6
👍🕴️,right hand,0,6
✔️🛣️,right hand,0,6
➡️👨👌,right hand,0,6
👉🏦,right hand,0,6
👉🛣️,right hand,0,6
👉👱🏻‍♂️,right hand,0,6
🙋‍♀️👍✅,right hand,0,6
➡️💯,right hand,0,6
✔️,right side,0,6
✔️🏦,right side,0,6
✋👉,right side,0,6
👍✅,right side,0,6
👍,right side,0,6
✔️,right side,0,6
🤲🤚,right side,0,6
👉🖐️,right side,0,6
👉🏞️,right decision,0,6
👍🏦💰💰💰,right decision,0,6
🚗🛣️✔️,right decision,0,6
👉🏞️,right decision,0,6
👉,right decision,0,6
✔️,right decision,0,6
👩😍👨✔️,right decision,0,6
👉✔️,right decision,0,6
➡️🏦💰,right answer,0,6
👍🏦💰💰💰,right answer,0,6
👍🏦💰💰💰,right answer,0,6
👉🏞️,right answer,0,6
👍,right answer,0,6
👍,right answer,0,6
✔️👍,right answer,0,6
✔️👍,right answer,0,6
🚗🛣️✔️,right man,0,6
✔️💡👩👍,right man,0,6
👍🏦💸💹,right man,0,6
➡️🏦💰,right man,0,6
👉🏦,right man,0,6
👉🛣️,right man,0,6
✅,right man,0,6
💯,right man,0,6
➡️👨👌,right road,0,6
➡️🏦💰,right road,0,6
👍🏦💸💹,right road,0,6
✔️👨💕,right road,0,6
👍🏦💸💹,right road,0,6
✔️👨,right road,0,6
👍🏦💰💰💰,right road,0,6
🤔💭💡📈,right road,0,6
✔️🏦,right thing,0,6
➡️🧑‍🤝‍🧑👈,right thing,0,6
➡️🧑‍🤝‍🧑👈,right thing,0,6
👉✔️,right thing,0,6
👉,right thing,0,6
✔️,right thing,0,6
👩😍👨✔️,right thing,0,6
🛣️↗️,right thing,0,6
🤏🚢,short holiday,0,6
♨️🫁💨,short holiday,0,6
🤏📅,short holiday,0,6
🩳✈️,short holiday,0,6
⌛📖,short holiday,0,6
⏳🗓️📅,short holiday,0,6
⏳🫀💓,short holiday,0,6
🥲✈️,short holiday,0,6
🤏🏖️,short ration,0,6
❌✏️🪓🔧,short ration,0,6
❌✏️🪓🔧,short ration,0,6
🤏🏭,short ration,0,6
🤏📙📖,short ration,0,6
🤏🦱,short ration,0,6
🤏✈️,short ration,0,6
🤏📦,short ration,0,6
⏬🧥👚👕👖,short hair,0,6
⏳🫀💓,short hair,0,6
🩳✈️,short hair,0,6
🤏📦,short hair,0,6
🩳🏖️,short hair,0,6
🤏💲,short hair,0,6
⏬🧥👚👕👖,short hair,0,6
⌛📔,short hair,0,6
‼️⚠️🍞,short smokestack,0,6
🤏💵,short smokestack,0,6
🛫🛬,short smokestack,0,6
⏳📕,short smokestack,0,6
🥲🤏✈️⛩️,short smokestack,0,6
⏳🕐👩‍🦳🧓,short smokestack,0,6
🩳🏖️,short smokestack,0,6
🤏🗣️📖,short smokestack,0,6
🔜📅,short supply,0,6
🩳🛳️💨,short supply,0,6
🩳🗓️,short supply,0,6
🤏🗣️,short supply,0,6
🤷💸💸💸,short supply,0,6
⌚📖,short supply,0,6
⌛📅,short supply,0,6
🤏🍞,short supply,0,6
⏳✈️,short money,0,6
⏳📕,short money,0,6
⏳✈️,short money,0,6
🤏🏭,short money,0,6
🥲🤏✈️⛩️,short money,0,6
⌛🗓️,short money,0,6
🤏🧳🛄,short money,0,6
🤏💇‍♀️,short money,0,6
🤏💡⚡,short flight,0,6
💰💸😔,short flight,0,6
⏳🗓️📅,short flight,0,6
🩳🏖️,short flight,0,6
⏬🧥👚👕👖,short flight,0,6
⏬🍚🍜,short flight,0,6
👨‍👩‍👧‍👧👉💀👨‍👩‍👧,short flight,0,6
🛫🛬,short flight,0,6
🤏💲,short month,0,6
⏳✈️,short month,0,6
🩳🛳️💨,short month,0,6
🤏🏖️,short month,0,6
❌✏️🪓🔧,short month,0,6
🩳✈️,short month,0,6
⏳🏖️✈️🧳,short month,0,6
🩳🍚,short month,0,6
🩳✈️,short story,0,6
⏳🗓️📅,short story,0,6
🤏🌾,short story,0,6
🤏☠️,short story,0,6
🤏☠️,short story,0,6
🤏⌛🗓️,short story,0,6
🤏🍠🍞🥚,short story,0,6
🤏✈️,short story,0,6
🤏💇‍♀️,short life,0,6
🤏💡⚡,short life,0,6
↔️🏝️🍾💆🧖🧘,short life,0,6
♨️🫁💨,short life,0,6
♨️🫁💨,short life,0,6
💇‍♀️,short life,0,6
↔️🏝️🍾💆🧖🧘,short life,0,6
🤏🔩⚙️,short life,0,6
😖🦶,dirty job,0,6
🧍‍♂️🤢,dirty job,0,6
👃🦶🤢,dirty job,0,6
🦠🤐🤑💸🦠,dirty job,0,6
😑😒🥊,dirty job,0,6
👎🏚️,dirty job,0,6
🤢🦶,dirty job,0,6
😵‍💫😖👉🛁,dirty job,0,6
👎🏚️,dirty foot,0,6
🤢🧳,dirty foot,0,6
🤮👗👚,dirty foot,0,6
👎🧥,dirty foot,0,6
💩👘,dirty foot,0,6
🤮🛠️,dirty foot,0,6
💩💼,dirty foot,0,6
🪠🚽🧹,dirty foot,0,6
🤢🧳,dirty dish,0,6
🧼🦠🏚️,dirty dish,0,6
😵‍💫😖👉🛁,dirty dish,0,6
😣🔞💸,dirty dish,0,6
🤢🧳,dirty dish,0,6
🦠🛖🦠,dirty dish,0,6
👎🦶,dirty dish,0,6
😵‍💫😖👉🛁,dirty dish,0,6
💩👊🥊,dirty slum,0,6
🤬:pouting_face:,dirty slum,0,6
💩💵💰,dirty slum,0,6
😵‍💫😖👉🛁,dirty slum,0,6
💩👖,dirty slum,0,6
🤮🤢👷‍♂️,dirty slum,0,6
❌⚖️💪👨‍🦲💢,dirty slum,0,6
🚽👷🛠️,dirty slum,0,6
💩💼,dirty work,0,6
👎🧥,dirty work,0,6
😈💵💵🚫👉👮,dirty work,0,6
🧼👕,dirty work,0,6
🤢🧳,dirty work,0,6
🥵🦶💩,dirty work,0,6
😖🦶,dirty work,0,6
👿👊🥊🤼,dirty work,0,6
🤮🥋,dirty money,0,6
🧼🍽️🧫,dirty money,0,6
🪠🚽🧹💰👵👴,dirty money,0,6
❌⚖️💪👨‍🦲💢,dirty money,0,6
👎🏚️,dirty money,0,6
🤮👗👚,dirty money,0,6
🧼🦶,dirty money,0,6
❌⚖️💪👨‍🦲💢,dirty money,0,6
🧼🦶,dirty overall,0,6
💩💸🏠,dirty overall,0,6
😈💵💵🚫👉👮,dirty overall,0,6
🧼🦶,dirty overall,0,6
🥵🦶💩,dirty overall,0,6
🤮🍽️,dirty overall,0,6
💩👣,dirty overall,0,6
😖🦶,dirty overall,0,6
🤮🍽️,dirty fighter,0,6
😒💰,dirty fighter,0,6
💩🍽️,dirty fighter,0,6
💩💵💰,dirty fighter,0,6
🤮🦶,dirty fighter,0,6
🦠🛖🦠,dirty fighter,0,6
🪠🚽🧹,dirty fighter,0,6
😵‍💫😖👉🛁,dirty fighter,0,6
🏞️,common procedure,0,6
🤲📱,common procedure,0,6
🪰😐,common procedure,0,6
👏👦🧑‍🦱,common procedure,0,6
🛍️🛍️🔄,common procedure,0,6
🧠🤔😒,common procedure,0,6
🤲⛵👨,common procedure,0,6
👩‍💼🗣️💼,common procedure,0,6
🧑‍✈️🚤,common knowledge,0,6
👏👦🧑‍🦱,common knowledge,0,6
👥⛰️,common knowledge,0,6
🤲⛵👨,common knowledge,0,6
👥🪰,common knowledge,0,6
🛍️🛍️🔄,common knowledge,0,6
▶️👦👦👦,common knowledge,0,6
🤲⛵👨,common knowledge,0,6
🖥️,common land,0,6
👥😩,common land,0,6
👥🪰,common land,0,6
👩‍💼🗣️💼,common land,0,6
👥🔃,common land,0,6
🤲⛵👨,common land,0,6
👓👝👗👔©️,common land,0,6
👥🗣️,common land,0,6
🪰,common nuisance,0,6
🤲📱,common nuisance,0,6
🪰😐,common nuisance,0,6
👥⛰️,common nuisance,0,6
👓👝👗👔©️,common nuisance,0,6
🧐🧠,common nuisance,0,6
👥🪰,common nuisance,0,6
🔄🧑‍⚕️💉,common nuisance,0,6
🧍🧍🤷,common sailor,0,6
🥸👫🤲,common sailor,0,6
🗣️✅🆗,common sailor,0,6
👩‍💼🗣️💼,common sailor,0,6
🧠🧠🌎,common sailor,0,6
🤲📱,common sailor,0,6
😬📋1️⃣2️⃣3️⃣,common sailor,0,6
😬📋1️⃣2️⃣3️⃣,common sailor,0,6
👨,common housefly,0,6
🤲👨,common housefly,0,6
🤝🏝️,common housefly,0,6
🖥️,common housefly,0,6
▶️🧠,common housefly,0,6
🏞️,common housefly,0,6
🤲⛵👨,common housefly,0,6
🤝🏝️,common housefly,0,6
🏞️,common man,0,6
👏👦🧑‍🦱,common man,0,6
😬📋1️⃣2️⃣3️⃣,common man,0,6
