sent1,sent2,unicode,label,strategy,attribute,filename,emoji,separate_filenames
This is fork_and_knife [EM] fork_and_knife [EM] spaghetti [EM] Santa_Claus.,This is ample waistline.,U+1F374 U+1F374 U+1F35D U+1F385,1,1,SIZE,636.png,🍴🍴🍝🎅,"['noto-emoji/png/512/emoji_u1f374.png', 'noto-emoji/png/512/emoji_u1f374.png', 'noto-emoji/png/512/emoji_u1f35d.png', 'noto-emoji/png/512/emoji_u1f385.png']"
This is pinched_fingers_light_skin_tone [EM] dress.,This is ample waistline.,U+1F90C U+1F3FB U+1F457,1,1,SIZE,637.png,🤌🏻👗,"['noto-emoji/png/512/emoji_u1f90c.png', 'noto-emoji/png/512/emoji_u1f3fb.png', 'noto-emoji/png/512/emoji_u1f457.png']"
This is woman_gesturing_OK_light_skin_tone [EM] shorts.,This is ample waistline.,U+1F646 U+1F3FB U+200D U+2640 U+FE0F U+1FA73,1,0,SIZE,639.png,🙆🏻‍♀️🩳,"['noto-emoji/png/512/emoji_u1f646.png', 'noto-emoji/png/512/emoji_u1f3fb.png', 'noto-emoji/png/512/emoji_u2640.png', 'noto-emoji/png/512/emoji_u1fa73.png']"
This is open_hands [EM] pregnant_woman.,This is ample waistline.,U+1F450 U+1F930,1,1,SIZE,640.png,👐🤰,"['noto-emoji/png/512/emoji_u1f450.png', 'noto-emoji/png/512/emoji_u1f930.png']"
This is exploding_head [EM] star-struck.,This is remarkable sight.,U+1F92F U+1F929,1,0,ORDINARINESS,649.png,🤯🤩,"['noto-emoji/png/512/emoji_u1f92f.png', 'noto-emoji/png/512/emoji_u1f929.png']"
This is star-struck [EM] exploding_head [EM] fireworks.,This is remarkable sight.,U+1F929 U+1F92F U+1F386,1,1,ORDINARINESS,650.png,🤩🤯🎆,"['noto-emoji/png/512/emoji_u1f929.png', 'noto-emoji/png/512/emoji_u1f92f.png', 'noto-emoji/png/512/emoji_u1f386.png']"
This is astonished_face [EM] hundred_points [EM] smiling_face_with_hearts [EM] eyes.,This is remarkable sight.,U+1F632 U+1F4AF U+1F970 U+1F440,1,0,ORDINARINESS,651.png,😲💯🥰👀,"['noto-emoji/png/512/emoji_u1f632.png', 'noto-emoji/png/512/emoji_u1f4af.png', 'noto-emoji/png/512/emoji_u1f970.png', 'noto-emoji/png/512/emoji_u1f440.png']"
This is star-struck [EM] national_park.,This is remarkable sight.,U+1F929 U+1F3DE,1,0,ORDINARINESS,653.png,🤩🏞,"['noto-emoji/png/512/emoji_u1f929.png', 'noto-emoji/png/512/emoji_u1f3de.png']"
This is eyes [EM] moon_viewing_ceremony.,This is remarkable sight.,U+1F440 U+1F391,1,0,ORDINARINESS,654.png,👀🎑,"['noto-emoji/png/512/emoji_u1f440.png', 'noto-emoji/png/512/emoji_u1f391.png']"
This is star-struck.,This is remarkable sight.,U+1F929,1,4,ORDINARINESS,655.png,🤩,['noto-emoji/png/512/emoji_u1f929.png']
This is eyes [EM] framed_picture.,This is remarkable sight.,U+1F440 U+1F5BC U+FE0F,1,0,ORDINARINESS,656.png,👀🖼️,"['noto-emoji/png/512/emoji_u1f440.png', 'noto-emoji/png/512/emoji_u1f5bc.png']"
This is expressionless_face [EM] yawning_face.,This is dull mood.,U+1F611 U+1F971,1,2,DULLNESS,657.png,😑🥱,"['noto-emoji/png/512/emoji_u1f611.png', 'noto-emoji/png/512/emoji_u1f971.png']"
This is confused_face [EM] expressionless_face [EM] face_without_mouth.,This is dull mood.,U+1F615 U+1F611 U+1F636,1,2,DULLNESS,658.png,😕😑😶,"['noto-emoji/png/512/emoji_u1f615.png', 'noto-emoji/png/512/emoji_u1f611.png', 'noto-emoji/png/512/emoji_u1f636.png']"
This is expressionless_face [EM] yawning_face.,This is dull mood.,U+1F611 U+1F971,1,2,DULLNESS,659.png,😑🥱,"['noto-emoji/png/512/emoji_u1f611.png', 'noto-emoji/png/512/emoji_u1f971.png']"
This is yawning_face [EM] unamused_face.,This is dull mood.,U+1F971 U+1F612,1,2,DULLNESS,660.png,🥱😒,"['noto-emoji/png/512/emoji_u1f971.png', 'noto-emoji/png/512/emoji_u1f612.png']"
This is yawning_face [EM] unamused_face.,This is dull mood.,U+1F971 U+1F612,1,2,DULLNESS,661.png,🥱😒,"['noto-emoji/png/512/emoji_u1f971.png', 'noto-emoji/png/512/emoji_u1f612.png']"
This is thumbs_down [EM] face_with_steam_from_nose.,This is dull mood.,U+1F44E U+1F624,1,0,DULLNESS,662.png,👎😤,"['noto-emoji/png/512/emoji_u1f44e.png', 'noto-emoji/png/512/emoji_u1f624.png']"
This is pensive_face [EM] sleepy_face.,This is dull mood.,U+1F614 U+1F62A,1,2,DULLNESS,663.png,😔😪,"['noto-emoji/png/512/emoji_u1f614.png', 'noto-emoji/png/512/emoji_u1f62a.png']"
This is downcast_face_with_sweat.,This is dull mood.,U+1F613,1,4,DULLNESS,664.png,😓,['noto-emoji/png/512/emoji_u1f613.png']
This is expressionless_face [EM] yawning_face [EM] soccer_ball.,This is dull play.,U+1F611 U+1F971 U+26BD,1,0,INTEREST,665.png,😑🥱⚽,"['noto-emoji/png/512/emoji_u1f611.png', 'noto-emoji/png/512/emoji_u1f971.png', 'noto-emoji/png/512/emoji_u26bd.png']"
This is expressionless_face [EM] pinata [EM] teddy_bear.,This is dull play.,U+1F611 U+1FA85 U+1F9F8,1,0,INTEREST,666.png,😑🪅🧸,"['noto-emoji/png/512/emoji_u1f611.png', 'noto-emoji/png/512/emoji_u1fa85.png', 'noto-emoji/png/512/emoji_u1f9f8.png']"
This is yawning_face [EM] performing_arts.,This is dull play.,U+1F971 U+1F3AD,1,0,INTEREST,667.png,🥱🎭,"['noto-emoji/png/512/emoji_u1f971.png', 'noto-emoji/png/512/emoji_u1f3ad.png']"
This is yawning_face [EM] performing_arts.,This is dull play.,U+1F971 U+1F3AD,1,0,INTEREST,668.png,🥱🎭,"['noto-emoji/png/512/emoji_u1f971.png', 'noto-emoji/png/512/emoji_u1f3ad.png']"
This is unamused_face [EM] soccer_ball.,This is dull play.,U+1F612 U+26BD,1,0,INTEREST,669.png,😒⚽,"['noto-emoji/png/512/emoji_u1f612.png', 'noto-emoji/png/512/emoji_u26bd.png']"
This is thumbs_down [EM] basketball.,This is dull play.,U+1F44E U+1F3C0,1,0,INTEREST,670.png,👎🏀,"['noto-emoji/png/512/emoji_u1f44e.png', 'noto-emoji/png/512/emoji_u1f3c0.png']"
This is sleepy_face [EM] video_game.,This is dull play.,U+1F62A U+1F3AE,1,0,INTEREST,671.png,😪🎮,"['noto-emoji/png/512/emoji_u1f62a.png', 'noto-emoji/png/512/emoji_u1f3ae.png']"
This is performing_arts [EM] confused_face.,This is dull play.,U+1F3AD U+1F615,1,0,INTEREST,672.png,🎭😕,"['noto-emoji/png/512/emoji_u1f3ad.png', 'noto-emoji/png/512/emoji_u1f615.png']"
This is expressionless_face [EM] yawning_face [EM] fog.,This is dull sky.,U+1F611 U+1F971 U+1F32B U+FE0F,1,0,LUMINOSITY,673.png,😑🥱🌫️,"['noto-emoji/png/512/emoji_u1f611.png', 'noto-emoji/png/512/emoji_u1f971.png', 'noto-emoji/png/512/emoji_u1f32b.png']"
This is sun_behind_large_cloud [EM] cloud_with_rain [EM] window.,This is dull sky.,U+1F325 U+FE0F U+1F327 U+FE0F U+1FA9F,1,1,LUMINOSITY,674.png,🌥️🌧️🪟,"['noto-emoji/png/512/emoji_u1f325.png', 'noto-emoji/png/512/emoji_u1f327.png', 'noto-emoji/png/512/emoji_u1fa9f.png']"
This is fog.,This is dull sky.,U+1F32B,1,4,LUMINOSITY,675.png,🌫,['noto-emoji/png/512/emoji_u1f32b.png']
This is new_moon [EM] night_with_stars.,This is dull sky.,U+1F311 U+1F303,1,1,LUMINOSITY,676.png,🌑🌃,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f303.png']"
This is unamused_face [EM] fog.,This is dull sky.,U+1F612 U+1F32B U+FE0F,1,0,LUMINOSITY,677.png,😒🌫️,"['noto-emoji/png/512/emoji_u1f612.png', 'noto-emoji/png/512/emoji_u1f32b.png']"
This is black_small_square [EM] cloud_with_lightning_and_rain.,This is dull sky.,U+25AA U+FE0F U+26C8,1,1,LUMINOSITY,678.png,▪️⛈,"['noto-emoji/png/512/emoji_u25aa.png', 'noto-emoji/png/512/emoji_u26c8.png']"
This is cloud_with_lightning [EM] fog.,This is dull sky.,U+1F329 U+FE0F U+1F32B U+FE0F,1,1,LUMINOSITY,679.png,🌩️🌫️,"['noto-emoji/png/512/emoji_u1f329.png', 'noto-emoji/png/512/emoji_u1f32b.png']"
This is fog.,This is dull sky.,U+1F32B U+FE0F,1,4,LUMINOSITY,680.png,🌫️,['noto-emoji/png/512/emoji_u1f32b.png']
This is fog [EM] 2nd_place_medal.,This is dull silver.,U+1F32B U+FE0F U+1F948,1,0,LUMINOSITY,681.png,🌫️🥈,"['noto-emoji/png/512/emoji_u1f32b.png', 'noto-emoji/png/512/emoji_u1f948.png']"
This is fog [EM] fork_and_knife [EM] spoon.,This is dull silver.,U+1F32B U+FE0F U+1F374 U+1F944,1,0,LUMINOSITY,682.png,🌫️🍴🥄,"['noto-emoji/png/512/emoji_u1f32b.png', 'noto-emoji/png/512/emoji_u1f374.png', 'noto-emoji/png/512/emoji_u1f944.png']"
This is new_moon [EM] 2nd_place_medal.,This is dull silver.,U+1F311 U+1F948,1,0,LUMINOSITY,684.png,🌑🥈,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f948.png']"
This is 2nd_place_medal [EM] gear [EM] new_moon.,This is dull silver.,U+1F948 U+2699 U+FE0F U+1F311,1,0,LUMINOSITY,685.png,🥈⚙️🌑,"['noto-emoji/png/512/emoji_u1f948.png', 'noto-emoji/png/512/emoji_u2699.png', 'noto-emoji/png/512/emoji_u1f311.png']"
This is black_small_square [EM] ring.,This is dull silver.,U+25AA U+FE0F U+1F48D,1,0,LUMINOSITY,686.png,▪️💍,"['noto-emoji/png/512/emoji_u25aa.png', 'noto-emoji/png/512/emoji_u1f48d.png']"
This is 2nd_place_medal [EM] pensive_face.,This is dull silver.,U+1F948 U+1F614,1,1,LUMINOSITY,687.png,🥈😔,"['noto-emoji/png/512/emoji_u1f948.png', 'noto-emoji/png/512/emoji_u1f614.png']"
This is fog [EM] coin.,This is dull silver.,U+1F32B U+FE0F U+1FA99,1,0,LUMINOSITY,688.png,🌫️🪙,"['noto-emoji/png/512/emoji_u1f32b.png', 'noto-emoji/png/512/emoji_u1fa99.png']"
This is expressionless_face [EM] yawning_face [EM] tear-off_calendar.,This is dull day.,U+1F611 U+1F971 U+1F4C6,1,0,DULLNESS,689.png,😑🥱📆,"['noto-emoji/png/512/emoji_u1f611.png', 'noto-emoji/png/512/emoji_u1f971.png', 'noto-emoji/png/512/emoji_u1f4c6.png']"
This is sun_behind_large_cloud [EM] cityscape.,This is dull day.,U+1F325 U+FE0F U+1F3D9 U+FE0F,1,1,DULLNESS,690.png,🌥️🏙️,"['noto-emoji/png/512/emoji_u1f325.png', 'noto-emoji/png/512/emoji_u1f3d9.png']"
This is expressionless_face [EM] calendar.,This is dull day.,U+1F611 U+1F4C5,1,0,DULLNESS,691.png,😑📅,"['noto-emoji/png/512/emoji_u1f611.png', 'noto-emoji/png/512/emoji_u1f4c5.png']"
This is new_moon [EM] new_moon_face.,This is dull day.,U+1F311 U+1F31A,1,1,DULLNESS,692.png,🌑🌚,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f31a.png']"
This is fog [EM] sun_behind_large_cloud.,This is dull day.,U+1F32B U+FE0F U+1F325 U+FE0F,1,1,DULLNESS,693.png,🌫️🌥️,"['noto-emoji/png/512/emoji_u1f32b.png', 'noto-emoji/png/512/emoji_u1f325.png']"
This is thumbs_down [EM] eleven-thirty.,This is dull day.,U+1F44E U+1F566,1,1,DULLNESS,694.png,👎🕦,"['noto-emoji/png/512/emoji_u1f44e.png', 'noto-emoji/png/512/emoji_u1f566.png']"
This is sad_but_relieved_face [EM] worried_face.,This is dull day.,U+1F625 U+1F61F,1,2,DULLNESS,695.png,😥😟,"['noto-emoji/png/512/emoji_u1f625.png', 'noto-emoji/png/512/emoji_u1f61f.png']"
This is fog.,This is dull day.,U+1F32B U+FE0F,1,4,DULLNESS,696.png,🌫️,['noto-emoji/png/512/emoji_u1f32b.png']
This is fog [EM] glowing_star.,This is dull glow.,U+1F32B U+FE0F U+1F31F,1,0,LUMINOSITY,697.png,🌫️🌟,"['noto-emoji/png/512/emoji_u1f32b.png', 'noto-emoji/png/512/emoji_u1f31f.png']"
This is fog [EM] light_bulb.,This is dull glow.,U+1F32B U+FE0F U+1F4A1,1,0,LUMINOSITY,698.png,🌫️💡,"['noto-emoji/png/512/emoji_u1f32b.png', 'noto-emoji/png/512/emoji_u1f4a1.png']"
This is new_moon [EM] glowing_star.,This is dull glow.,U+1F311 U+1F31F,1,0,LUMINOSITY,700.png,🌑🌟,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f31f.png']"
This is light_bulb [EM] sunglasses [EM] unamused_face.,This is dull glow.,U+1F4A1 U+1F576 U+FE0F U+1F612,1,1,LUMINOSITY,701.png,💡🕶️😒,"['noto-emoji/png/512/emoji_u1f4a1.png', 'noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f612.png']"
This is thumbs_down [EM] glowing_star.,This is dull glow.,U+1F44E U+1F31F,1,0,LUMINOSITY,702.png,👎🌟,"['noto-emoji/png/512/emoji_u1f44e.png', 'noto-emoji/png/512/emoji_u1f31f.png']"
This is cross_mark [EM] light_bulb [EM] candle.,This is dull glow.,U+274C U+1F4A1 U+1F56F U+FE0F,1,0,LUMINOSITY,703.png,❌💡🕯️,"['noto-emoji/png/512/emoji_u274c.png', 'noto-emoji/png/512/emoji_u1f4a1.png', 'noto-emoji/png/512/emoji_u1f56f.png']"
This is fog [EM] star.,This is dull glow.,U+1F32B U+FE0F U+2B50,1,0,LUMINOSITY,704.png,🌫️⭐,"['noto-emoji/png/512/emoji_u1f32b.png', 'noto-emoji/png/512/emoji_u2b50.png']"
This is smiling_face_with_smiling_eyes [EM] bed.,This is cozy nook.,U+1F60A U+1F6CF U+FE0F,1,1,COMFORT,705.png,😊🛏️,"['noto-emoji/png/512/emoji_u1f60a.png', 'noto-emoji/png/512/emoji_u1f6cf.png']"
This is relieved_face [EM] smiling_face [EM] sun [EM] sunrise_over_mountains.,This is cozy nook.,U+1F60C U+263A U+FE0F U+2600 U+FE0F U+1F304,1,1,COMFORT,706.png,😌☺️☀️🌄,"['noto-emoji/png/512/emoji_u1f60c.png', 'noto-emoji/png/512/emoji_u263a.png', 'noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f304.png']"
This is couch_and_lamp [EM] smiling_face_with_hearts.,This is cozy nook.,U+1F6CB U+1F970,1,1,COMFORT,707.png,🛋🥰,"['noto-emoji/png/512/emoji_u1f6cb.png', 'noto-emoji/png/512/emoji_u1f970.png']"
This is smiling_face_with_hearts [EM] couch_and_lamp.,This is cozy nook.,U+1F970 U+1F6CB U+FE0F,1,1,COMFORT,708.png,🥰🛋️,"['noto-emoji/png/512/emoji_u1f970.png', 'noto-emoji/png/512/emoji_u1f6cb.png']"
This is couch_and_lamp [EM] hot_beverage [EM] relieved_face.,This is cozy nook.,U+1F6CB U+FE0F U+2615 U+1F60C,1,1,COMFORT,709.png,🛋️☕😌,"['noto-emoji/png/512/emoji_u1f6cb.png', 'noto-emoji/png/512/emoji_u2615.png', 'noto-emoji/png/512/emoji_u1f60c.png']"
This is grinning_face_with_smiling_eyes.,This is cozy nook.,U+1F604,1,4,COMFORT,710.png,😄,['noto-emoji/png/512/emoji_u1f604.png']
This is maple_leaf [EM] fallen_leaf [EM] fire.,This is cozy nook.,U+1F341 U+1F342 U+1F525,1,1,COMFORT,711.png,🍁🍂🔥,"['noto-emoji/png/512/emoji_u1f341.png', 'noto-emoji/png/512/emoji_u1f342.png', 'noto-emoji/png/512/emoji_u1f525.png']"
This is sleeping_face [EM] couch_and_lamp.,This is cozy nook.,U+1F634 U+1F6CB U+FE0F,1,6,COMFORT,712.png,😴🛋️,"['noto-emoji/png/512/emoji_u1f634.png', 'noto-emoji/png/512/emoji_u1f6cb.png']"
This is smiling_face_with_smiling_eyes [EM] house.,This is cozy room.,U+1F60A U+1F3E0,1,0,FRIENDLINESS,713.png,😊🏠,"['noto-emoji/png/512/emoji_u1f60a.png', 'noto-emoji/png/512/emoji_u1f3e0.png']"
This is relieved_face [EM] house [EM] house_with_garden [EM] window.,This is cozy room.,U+1F60C U+1F3E0 U+1F3E1 U+1FA9F,1,0,FRIENDLINESS,714.png,😌🏠🏡🪟,"['noto-emoji/png/512/emoji_u1f60c.png', 'noto-emoji/png/512/emoji_u1f3e0.png', 'noto-emoji/png/512/emoji_u1f3e1.png', 'noto-emoji/png/512/emoji_u1fa9f.png']"
This is bed [EM] smiling_face_with_hearts.,This is cozy room.,U+1F6CF U+1F970,1,1,FRIENDLINESS,715.png,🛏🥰,"['noto-emoji/png/512/emoji_u1f6cf.png', 'noto-emoji/png/512/emoji_u1f970.png']"
This is smiling_face_with_hearts [EM] door.,This is cozy room.,U+1F970 U+1F6AA,1,1,FRIENDLINESS,716.png,🥰🚪,"['noto-emoji/png/512/emoji_u1f970.png', 'noto-emoji/png/512/emoji_u1f6aa.png']"
This is couch_and_lamp [EM] hot_beverage [EM] desktop_computer.,This is cozy room.,U+1F6CB U+FE0F U+2615 U+1F5A5 U+FE0F,1,1,FRIENDLINESS,717.png,🛋️☕🖥️,"['noto-emoji/png/512/emoji_u1f6cb.png', 'noto-emoji/png/512/emoji_u2615.png', 'noto-emoji/png/512/emoji_u1f5a5.png']"
This is grinning_face_with_smiling_eyes [EM] person_in_bed.,This is cozy room.,U+1F604 U+1F6CC,1,1,FRIENDLINESS,718.png,😄🛌,"['noto-emoji/png/512/emoji_u1f604.png', 'noto-emoji/png/512/emoji_u1f6cc.png']"
This is bed [EM] couch_and_lamp [EM] zzz [EM] candle.,This is cozy room.,U+1F6CF U+FE0F U+1F6CB U+FE0F U+1F4A4 U+1F56F U+FE0F,1,1,FRIENDLINESS,719.png,🛏️🛋️💤🕯️,"['noto-emoji/png/512/emoji_u1f6cf.png', 'noto-emoji/png/512/emoji_u1f6cb.png', 'noto-emoji/png/512/emoji_u1f4a4.png', 'noto-emoji/png/512/emoji_u1f56f.png']"
This is sleeping_face [EM] couch_and_lamp.,This is cozy room.,U+1F634 U+1F6CB U+FE0F,1,6,FRIENDLINESS,720.png,😴🛋️,"['noto-emoji/png/512/emoji_u1f634.png', 'noto-emoji/png/512/emoji_u1f6cb.png']"
This is down-right_arrow [EM] snow-capped_mountain.,This is low hill.,U+2198 U+FE0F U+1F3D4 U+FE0F,1,0,HEIGHT,721.png,↘️🏔️,"['noto-emoji/png/512/emoji_u2198.png', 'noto-emoji/png/512/emoji_u1f3d4.png']"
This is backhand_index_pointing_down [EM] mountain.,This is low hill.,U+1F447 U+26F0 U+FE0F,1,0,HEIGHT,722.png,👇⛰️,"['noto-emoji/png/512/emoji_u1f447.png', 'noto-emoji/png/512/emoji_u26f0.png']"
This is down_arrow [EM] snow-capped_mountain [EM] snow-capped_mountain.,This is low hill.,U+2B07 U+FE0F U+1F3D4 U+1F3D4,1,0,HEIGHT,723.png,⬇️🏔🏔,"['noto-emoji/png/512/emoji_u2b07.png', 'noto-emoji/png/512/emoji_u1f3d4.png', 'noto-emoji/png/512/emoji_u1f3d4.png']"
This is down-right_arrow [EM] snow-capped_mountain.,This is low hill.,U+2198 U+FE0F U+1F3D4 U+FE0F,1,0,HEIGHT,724.png,↘️🏔️,"['noto-emoji/png/512/emoji_u2198.png', 'noto-emoji/png/512/emoji_u1f3d4.png']"
This is snow-capped_mountain [EM] down_arrow.,This is low hill.,U+1F3D4 U+2B07 U+FE0F,1,0,HEIGHT,725.png,🏔⬇️,"['noto-emoji/png/512/emoji_u1f3d4.png', 'noto-emoji/png/512/emoji_u2b07.png']"
This is snow-capped_mountain.,This is low hill.,U+1F3D4 U+FE0F,1,4,HEIGHT,726.png,🏔️,['noto-emoji/png/512/emoji_u1f3d4.png']
This is down_arrow [EM] snow-capped_mountain.,This is low hill.,U+2B07 U+FE0F U+1F3D4 U+FE0F,1,0,HEIGHT,727.png,⬇️🏔️,"['noto-emoji/png/512/emoji_u2b07.png', 'noto-emoji/png/512/emoji_u1f3d4.png']"
This is red_triangle_pointed_down [EM] mount_fuji.,This is low hill.,U+1F53B U+1F5FB,1,0,HEIGHT,728.png,🔻🗻,"['noto-emoji/png/512/emoji_u1f53b.png', 'noto-emoji/png/512/emoji_u1f5fb.png']"
This is down-right_arrow [EM] sun.,This is low sun.,U+2198 U+FE0F U+2600 U+FE0F,1,0,HEIGHT,729.png,↘️☀️,"['noto-emoji/png/512/emoji_u2198.png', 'noto-emoji/png/512/emoji_u2600.png']"
This is backhand_index_pointing_down [EM] sun_with_face.,This is low sun.,U+1F447 U+1F31E,1,0,HEIGHT,730.png,👇🌞,"['noto-emoji/png/512/emoji_u1f447.png', 'noto-emoji/png/512/emoji_u1f31e.png']"
This is sunrise [EM] sunrise [EM] sunrise.,This is low sun.,U+1F305 U+1F305 U+1F305,1,3,HEIGHT,731.png,🌅🌅🌅,"['noto-emoji/png/512/emoji_u1f305.png', 'noto-emoji/png/512/emoji_u1f305.png', 'noto-emoji/png/512/emoji_u1f305.png']"
This is down-right_arrow [EM] sun [EM] sun_with_face [EM] sun_behind_large_cloud [EM] dim_button.,This is low sun.,U+2198 U+FE0F U+2600 U+FE0F U+1F31E U+1F325 U+FE0F U+1F505,1,1,HEIGHT,732.png,↘️☀️🌞🌥️🔅,"['noto-emoji/png/512/emoji_u2198.png', 'noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f31e.png', 'noto-emoji/png/512/emoji_u1f325.png', 'noto-emoji/png/512/emoji_u1f505.png']"
This is down_arrow [EM] dim_button.,This is low sun.,U+2B07 U+FE0F U+1F505,1,0,HEIGHT,733.png,⬇️🔅,"['noto-emoji/png/512/emoji_u2b07.png', 'noto-emoji/png/512/emoji_u1f505.png']"
This is droplet [EM] ice [EM] snowflake.,This is low sun.,U+1F4A7 U+1F9CA U+2744 U+FE0F,1,1,HEIGHT,734.png,💧🧊❄️,"['noto-emoji/png/512/emoji_u1f4a7.png', 'noto-emoji/png/512/emoji_u1f9ca.png', 'noto-emoji/png/512/emoji_u2744.png']"
This is chart_decreasing [EM] sun.,This is low sun.,U+1F4C9 U+2600 U+FE0F,1,0,HEIGHT,735.png,📉☀️,"['noto-emoji/png/512/emoji_u1f4c9.png', 'noto-emoji/png/512/emoji_u2600.png']"
This is red_triangle_pointed_down [EM] sun.,This is low sun.,U+1F53B U+2600 U+FE0F,1,0,HEIGHT,736.png,🔻☀️,"['noto-emoji/png/512/emoji_u1f53b.png', 'noto-emoji/png/512/emoji_u2600.png']"
This is down-right_arrow [EM] chart_decreasing.,This is low supply.,U+2198 U+FE0F U+1F4C9,1,1,QUANTITY,737.png,↘️📉,"['noto-emoji/png/512/emoji_u2198.png', 'noto-emoji/png/512/emoji_u1f4c9.png']"
This is chart_decreasing [EM] package.,This is low supply.,U+1F4C9 U+1F4E6,1,0,QUANTITY,738.png,📉📦,"['noto-emoji/png/512/emoji_u1f4c9.png', 'noto-emoji/png/512/emoji_u1f4e6.png']"
This is woman_gesturing_NO [EM] woman_gesturing_NO [EM] woman_gesturing_NO.,This is low supply.,U+1F645 U+200D U+2640 U+FE0F U+1F645 U+200D U+2640 U+FE0F U+1F645 U+200D U+2640 U+FE0F,1,3,QUANTITY,739.png,🙅‍♀️🙅‍♀️🙅‍♀️,"['noto-emoji/png/512/emoji_u1f645.png', 'noto-emoji/png/512/emoji_u2640.png', 'noto-emoji/png/512/emoji_u1f645.png', 'noto-emoji/png/512/emoji_u2640.png', 'noto-emoji/png/512/emoji_u1f645.png', 'noto-emoji/png/512/emoji_u2640.png']"
This is down-right_arrow [EM] thumbs_down [EM] slightly_frowning_face [EM] frowning_face_with_open_mouth.,This is low supply.,U+2198 U+FE0F U+1F44E U+1F641 U+1F626,1,1,QUANTITY,740.png,↘️👎🙁😦,"['noto-emoji/png/512/emoji_u2198.png', 'noto-emoji/png/512/emoji_u1f44e.png', 'noto-emoji/png/512/emoji_u1f641.png', 'noto-emoji/png/512/emoji_u1f626.png']"
This is down_arrow [EM] chart_decreasing.,This is low supply.,U+2B07 U+FE0F U+1F4C9,1,1,QUANTITY,741.png,⬇️📉,"['noto-emoji/png/512/emoji_u2b07.png', 'noto-emoji/png/512/emoji_u1f4c9.png']"
This is face_screaming_in_fear [EM] shopping_bags [EM] shopping_cart.,This is low supply.,U+1F631 U+1F6CD U+FE0F U+1F6D2,1,1,QUANTITY,742.png,😱🛍️🛒,"['noto-emoji/png/512/emoji_u1f631.png', 'noto-emoji/png/512/emoji_u1f6cd.png', 'noto-emoji/png/512/emoji_u1f6d2.png']"
This is down_arrow [EM] keycap_0.,This is low supply.,U+2B07 U+FE0F U+30 U+FE0F U+20E3,1,1,QUANTITY,743.png,⬇️0️⃣,"['noto-emoji/png/512/emoji_u2b07.png', 'noto-emoji/png/512/emoji_u0030.png']"
This is red_triangle_pointed_down [EM] package.,This is low supply.,U+1F53B U+1F4E6,1,0,QUANTITY,744.png,🔻📦,"['noto-emoji/png/512/emoji_u1f53b.png', 'noto-emoji/png/512/emoji_u1f4e6.png']"
This is down-right_arrow [EM] cloud.,This is low cloud.,U+2198 U+FE0F U+2601 U+FE0F,1,0,HEIGHT,745.png,↘️☁️,"['noto-emoji/png/512/emoji_u2198.png', 'noto-emoji/png/512/emoji_u2601.png']"
This is backhand_index_pointing_down [EM] cloud.,This is low cloud.,U+1F447 U+2601 U+FE0F,1,0,HEIGHT,746.png,👇☁️,"['noto-emoji/png/512/emoji_u1f447.png', 'noto-emoji/png/512/emoji_u2601.png']"
This is cloud [EM] foggy.,This is low cloud.,U+2601 U+FE0F U+1F301,1,1,HEIGHT,747.png,☁️🌁,"['noto-emoji/png/512/emoji_u2601.png', 'noto-emoji/png/512/emoji_u1f301.png']"
This is down-right_arrow [EM] fog.,This is low cloud.,U+2198 U+FE0F U+20 U+1F32B U+FE0F,1,0,HEIGHT,748.png,↘️ 🌫️,"['noto-emoji/png/512/emoji_u2198.png', 'noto-emoji/png/512/emoji_u1f32b.png']"
This is down_arrow [EM] cloud.,This is low cloud.,U+2B07 U+FE0F U+2601 U+FE0F,1,0,HEIGHT,749.png,⬇️☁️,"['noto-emoji/png/512/emoji_u2b07.png', 'noto-emoji/png/512/emoji_u2601.png']"
This is cloud [EM] sun_behind_large_cloud.,This is low cloud.,U+2601 U+FE0F U+1F325 U+FE0F,1,1,HEIGHT,750.png,☁️🌥️,"['noto-emoji/png/512/emoji_u2601.png', 'noto-emoji/png/512/emoji_u1f325.png']"
This is cross_mark [EM] cloud.,This is low cloud.,U+274C U+2601 U+FE0F,1,0,HEIGHT,751.png,❌☁️,"['noto-emoji/png/512/emoji_u274c.png', 'noto-emoji/png/512/emoji_u2601.png']"
This is red_triangle_pointed_down [EM] cloud.,This is low cloud.,U+1F53B U+2601 U+FE0F,1,0,HEIGHT,752.png,🔻☁️,"['noto-emoji/png/512/emoji_u1f53b.png', 'noto-emoji/png/512/emoji_u2601.png']"
This is down-right_arrow [EM] house.,This is low ceiling.,U+2198 U+FE0F U+1F3E0,1,0,HEIGHT,753.png,↘️🏠,"['noto-emoji/png/512/emoji_u2198.png', 'noto-emoji/png/512/emoji_u1f3e0.png']"
