EN,EM,Description,Composition strategy,Attribute,positional sensitivity
right man,👩😍👨✔️,"[':woman:', ':smiling_face_with_heart-eyes:', ':man:', ':check_mark:']",Metaphorical,APPROPRIATENESS,5
right man,👩‍❤️‍💋‍👨👨‍👩‍👦‍👦,"[':kiss_woman_man:', ':family_man_woman_boy_boy:']",Metaphorical,APPROPRIATENESS,4
right road,👉🛣️,"[':backhand_index_pointing_right:', ':motorway:']",Direct,CORRECTNESS,5
right road,👉🛣️,"[':backhand_index_pointing_right:', ':motorway:']",Direct,CORRECTNESS,5
right road,➡️🛣️,"[':right_arrow:', ':motorway:']",Direct,CORRECTNESS,5
right road,✅🛣️,"[':check_mark_button:', ':motorway:']",Direct,CORRECTNESS,3
right road,✔️🛣️,"[':check_mark:', ':motorway:']",Direct,CORRECTNESS,3
right road,👉🛣,"[':backhand_index_pointing_right:', ':motorway:']",Direct,CORRECTNESS,5
right road,🚗🛣️✔️,"[':automobile:', ':motorway:', ':check_mark:']",Direct,CORRECTNESS,4
right road,🛣️↗️,"[':motorway:', ':up-right_arrow:']",Metaphorical,CORRECTNESS,4
right thing,✔️,[':check_mark:'],Single,RIGHTNESS,1
right thing,✔️👍,"[':check_mark:', ':thumbs_up:']",Metaphorical,RIGHTNESS,2
right thing,➡️💯,"[':right_arrow:', ':hundred_points:']",Metaphorical,RIGHTNESS,3
right thing,👍✅,"[':thumbs_up:', ':check_mark_button:']",Metaphorical,RIGHTNESS,2
right thing,👍,[':thumbs_up:'],Single,RIGHTNESS,1
right thing,💯,[':hundred_points:'],Single,RIGHTNESS,1
right thing,🗣️✔️,"[':speaking_head:', ':check_mark:']",Metaphorical,RIGHTNESS,3
right thing,😀👍,"[':grinning_face:', ':thumbs_up:']",Metaphorical,RIGHTNESS,2
short holiday,🩳🏖,"[':shorts:', ':beach_with_umbrella:']",Direct,DURATION,2
short holiday,🥲🤏✈️⛩️,"[':smiling_face_with_tear:', ':pinching_hand:', ':airplane:', ':shinto_shrine:']",Metaphorical,DURATION,3
short holiday,⏳🏖️✈️🧳,"[':hourglass_not_done:', ':beach_with_umbrella:', ':airplane:', ':luggage:']",Direct,DURATION,3
short holiday,⌛🏖,"[':hourglass_done:', ':beach_with_umbrella:']",Direct,DURATION,3
short holiday,↔️🏝️🍾💆🧖🧘,"[':left-right_arrow:', ':desert_island:', ':bottle_with_popping_cork:', ':person_getting_massage:', ':person_in_steamy_room:', ':person_in_lotus_position:']",Metaphorical,DURATION,2
short holiday,🤏🏖️,"[':pinching_hand:', ':beach_with_umbrella:']",Direct,DURATION,2
short holiday,🤏🧳🛄,"[':pinching_hand:', ':luggage:', ':baggage_claim:']",Metaphorical,DURATION,3
short holiday,🛫🛬,"[':airplane_departure:', ':airplane_arrival:']",Metaphorical,DURATION,5
short ration,🩳🍚,"[':shorts:', ':cooked_rice:']",Direct,QUANTITY,2
short ration,🤏🍠🍞🥚,"[':pinching_hand:', ':roasted_sweet_potato:', ':bread:', ':egg:']",Direct,QUANTITY,2
short ration,🤏🥔🍠🍚,"[':pinching_hand:', ':potato:', ':roasted_sweet_potato:', ':cooked_rice:']",Direct,QUANTITY,2
short ration,❎🥘,"[':cross_mark_button:', ':shallow_pan_of_food:']",Direct,QUANTITY,3
short ration,⏬🍚🍜,"[':fast_down_button:', ':cooked_rice:', ':steaming_bowl:']",Direct,QUANTITY,2
short ration,🤏🍞,"[':pinching_hand:', ':bread:']",Direct,QUANTITY,2
short ration,🤏🌾,"[':pinching_hand:', ':sheaf_of_rice:']",Direct,QUANTITY,2
short ration,🤏🥔,"[':pinching_hand:', ':potato:']",Direct,QUANTITY,2
short hair,🩳👩🏻‍🦰,"[':shorts:', ':woman_light_skin_tone_red_hair:']",Direct,LENGTH,2
short hair,💇‍♀️➡️👩‍🦰,"[':woman_getting_haircut:', ':right_arrow:', ':woman_red_hair:']",Metaphorical,LENGTH,5
short hair,💇,[':person_getting_haircut:'],Single,LENGTH,1
short hair,🤏🦱,"[':pinching_hand:', ':curly_hair:']",Direct,LENGTH,2
short hair,👩‍🦰👩‍🦱🧑‍🦱,"[':woman_red_hair:', ':woman_curly_hair:', ':person_curly_hair:']",Semantic list,LENGTH,1
short hair,💇‍♀️,[':woman_getting_haircut:'],Single,LENGTH,1
short hair,🤏💇‍♀️,"[':pinching_hand:', ':woman_getting_haircut:']",Direct,LENGTH,2
short hair,👨‍🦱👩‍🦱,"[':man_curly_hair:', ':woman_curly_hair:']",Semantic list,LENGTH,1
short smokestack,🩳🛳💨,"[':shorts:', ':passenger_ship:', ':dashing_away:']",Direct,STATURE,3
short smokestack,🤏🏭,"[':pinching_hand:', ':factory:']",Direct,STATURE,2
short smokestack,🚢💨,"[':ship:', ':dashing_away:']",Metaphorical,STATURE,3
short smokestack,🤏🏭,"[':pinching_hand:', ':factory:']",Direct,STATURE,2
short smokestack,♨️🫁💨,"[':hot_springs:', ':lungs:', ':dashing_away:']",Metaphorical,STATURE,4
short smokestack,🤏🔩⚙️,"[':pinching_hand:', ':nut_and_bolt:', ':gear:']",Metaphorical,STATURE,2
short smokestack,🤏🚢,"[':pinching_hand:', ':ship:']",Direct,STATURE,2
short smokestack,🤏🚬📦,"[':pinching_hand:', ':cigarette:', ':package:']",Direct,STATURE,3
short supply,🩳🔌,"[':shorts:', ':electric_plug:']",Direct,QUANTITY,2
short supply,🤏💡⚡,"[':pinching_hand:', ':light_bulb:', ':high_voltage:']",Direct,QUANTITY,2
short supply,❌✏️🪓🔧,"[':cross_mark:', ':pencil:', ':axe:', ':wrench:']",Direct,QUANTITY,2
short supply,❎🚰,"[':cross_mark_button:', ':potable_water:']",Direct,QUANTITY,3
short supply,⏬🧥👚👕👖,"[':fast_down_button:', ':coat:', ':woman’s_clothes:', ':t-shirt:', ':jeans:']",Direct,QUANTITY,2
short supply,‼️⚠️🍞,"[':double_exclamation_mark:', ':warning:', ':bread:']",Direct,QUANTITY,3
short supply,🛖❌,"[':hut:', ':cross_mark:']",Direct,QUANTITY,3
short supply,🤏📦,"[':pinching_hand:', ':package:']",Direct,QUANTITY,2
short money,🩳💵,"[':shorts:', ':dollar_banknote:']",Direct,QUANTITY,2
short money,🤏💲,"[':pinching_hand:', ':heavy_dollar_sign:']",Direct,QUANTITY,2
short money,❌💰,"[':cross_mark:', ':money_bag:']",Direct,QUANTITY,3
short money,❎💰,"[':cross_mark_button:', ':money_bag:']",Direct,QUANTITY,3
short money,🤷💸💸💸,"[':person_shrugging:', ':money_with_wings:', ':money_with_wings:', ':money_with_wings:']",Metaphorical,QUANTITY,2
short money,🤏💵,"[':pinching_hand:', ':dollar_banknote:']",Direct,QUANTITY,2
short money,💰💸😔,"[':money_bag:', ':money_with_wings:', ':pensive_face:']",Metaphorical,QUANTITY,3
short money,🤏💷,"[':pinching_hand:', ':pound_banknote:']",Direct,QUANTITY,2
short flight,🩳✈️,"[':shorts:', ':airplane:']",Direct,DURATION,2
short flight,🥲✈️,"[':smiling_face_with_tear:', ':airplane:']",Metaphorical,DURATION,3
short flight,⏳✈️,"[':hourglass_not_done:', ':airplane:']",Direct,DURATION,3
short flight,⏳✈,"[':hourglass_not_done:', ':airplane:']",Direct,DURATION,3
short flight,⏳✈️🛫🛬,"[':hourglass_not_done:', ':airplane:', ':airplane_departure:', ':airplane_arrival:']",Direct,DURATION,4
short flight,🤏✈️,"[':pinching_hand:', ':airplane:']",Direct,DURATION,2
short flight,🛫🤏⌛🛬,"[':airplane_departure:', ':pinching_hand:', ':hourglass_done:', ':airplane_arrival:']",Metaphorical,DURATION,5
short flight,🛫🛬,"[':airplane_departure:', ':airplane_arrival:']",Metaphorical,DURATION,5
short month,🩳🗓,"[':shorts:', ':spiral_calendar:']",Direct,DURATION,2
short month,🤏📅,"[':pinching_hand:', ':calendar:']",Direct,DURATION,2
short month,⏳🗓️,"[':hourglass_not_done:', ':spiral_calendar:']",Direct,DURATION,3
short month,⌛🗓,"[':hourglass_done:', ':spiral_calendar:']",Direct,DURATION,3
short month,⏳🗓️📅,"[':hourglass_not_done:', ':spiral_calendar:', ':calendar:']",Direct,DURATION,3
short month,🔜📅,"[':SOON_arrow:', ':calendar:']",Direct,DURATION,4
short month,🤏⌛🗓️,"[':pinching_hand:', ':hourglass_done:', ':spiral_calendar:']",Direct,DURATION,3
short month,⌛📅,"[':hourglass_done:', ':calendar:']",Direct,DURATION,3
short story,🩳📖,"[':shorts:', ':open_book:']",Direct,DURATION,2
short story,🤏📙📖,"[':pinching_hand:', ':orange_book:', ':open_book:']",Direct,DURATION,2
short story,⏳📕,"[':hourglass_not_done:', ':closed_book:']",Direct,DURATION,3
short story,⌛📔,"[':hourglass_done:', ':notebook_with_decorative_cover:']",Direct,DURATION,3
short story,⌚📖,"[':watch:', ':open_book:']",Direct,DURATION,3
short story,🤏🗣️,"[':pinching_hand:', ':speaking_head:']",Direct,DURATION,2
short story,🤏🗣️📖,"[':pinching_hand:', ':speaking_head:', ':open_book:']",Direct,DURATION,2
short story,⌛📖,"[':hourglass_done:', ':open_book:']",Direct,DURATION,3
short life,🩳👽,"[':shorts:', ':alien:']",Direct,DURATION,4
short life,🤏☠️,"[':pinching_hand:', ':skull_and_crossbones:']",Direct,DURATION,2
short life,⏳🕐👩‍🦳🧓,"[':hourglass_not_done:', ':one_o’clock:', ':woman_white_hair:', ':older_person:']",Metaphorical,DURATION,4
short life,👋😀⌛,"[':waving_hand:', ':grinning_face:', ':hourglass_done:']",Metaphorical,DURATION,5
short life,⏳🫀💓,"[':hourglass_not_done:', ':anatomical_heart:', ':beating_heart:']",Metaphorical,DURATION,4
short life,👨‍👩‍👧‍👧👉💀👨‍👩‍👧,"[':family_man_woman_girl_girl:', ':backhand_index_pointing_right:', ':skull:', ':family_man_woman_girl:']",Metaphorical,DURATION,5
short life,👶🧓⚰️⌛🤏,"[':baby:', ':older_person:', ':coffin:', ':hourglass_done:', ':pinching_hand:']",Metaphorical,DURATION,5
short life,⌛⚰️,"[':hourglass_done:', ':coffin:']",Metaphorical,DURATION,4
far journey,⏱️🗺️🥲,"[':stopwatch:', ':world_map:', ':smiling_face_with_tear:']",Direct,DISTANCE,3
far journey,👣🛣️,"[':footprints:', ':motorway:']",Metaphorical,DISTANCE,4
far journey,😪🗺️,"[':sleepy_face:', ':world_map:']",Metaphorical,DISTANCE,3
far journey,⏳🚗✈️🛤️,"[':hourglass_not_done:', ':automobile:', ':airplane:', ':railway_track:']",Direct,DISTANCE,2
far journey,🛤🚢🗺,"[':railway_track:', ':ship:', ':world_map:']",Metaphorical,DISTANCE,2
far journey,🛣️🚌,"[':motorway:', ':bus:']",Metaphorical,DISTANCE,3
far journey,🗺️🔭,"[':world_map:', ':telescope:']",Direct,DISTANCE,3
far side,🧍🌎🧍,"[':person_standing:', ':globe_showing_Americas:', ':person_standing:']",Metaphorical,DISTANCE,5
far side,↙️🛣️,"[':down-left_arrow:', ':motorway:']",Metaphorical,DISTANCE,4
far side,😪👉,"[':sleepy_face:', ':backhand_index_pointing_right:']",Metaphorical,DISTANCE,4
far side,🚫🔜📏,"[':prohibited:', ':SOON_arrow:', ':straight_ruler:']",Metaphorical,DISTANCE,4
far side,↔️,[':left-right_arrow:'],Single,DISTANCE,1
far side,⬆️,[':up_arrow:'],Single,DISTANCE,1
far side,↗️↗️,"[':up-right_arrow:', ':up-right_arrow:']",Reduplication,DISTANCE,1
far trek,🚶🌾🏔️🧭,"[':person_walking:', ':sheaf_of_rice:', ':snow-capped_mountain:', ':compass:']",Metaphorical,LENGTH,3
far trek,🚶‍♀️🚶💦,"[':woman_walking:', ':person_walking:', ':sweat_droplets:']",Metaphorical,LENGTH,3
far trek,😵‍💫🚶‍♀️,"[':face_with_spiral_eyes:', ':woman_walking:']",Metaphorical,LENGTH,4
far trek,🚫🔜🥾🚶,"[':prohibited:', ':SOON_arrow:', ':hiking_boot:', ':person_walking:']",Direct,LENGTH,4
far trek,🧗‍♂️🗺,"[':man_climbing:', ':world_map:']",Metaphorical,LENGTH,3
far trek,🚶‍♂️🥾,"[':man_walking:', ':hiking_boot:']",Metaphorical,LENGTH,3
far trek,🚶🎒🌲🌲,"[':person_walking:', ':backpack:', ':evergreen_tree:', ':evergreen_tree:']",Metaphorical,LENGTH,3
far country,🌎↔️🌏,"[':globe_showing_Americas:', ':left-right_arrow:', ':globe_showing_Asia-Australia:']",Metaphorical,DISTANCE,5
far country,🧳🛫🕧,"[':luggage:', ':airplane_departure:', ':twelve-thirty:']",Metaphorical,DISTANCE,4
far country,😵‍💫🇦🇽,"[':face_with_spiral_eyes:', ':Åland_Islands:']",Metaphorical,DISTANCE,3
far country,🚫🔜🇺🇸🇨🇵🇨🇮🇦🇨🇦🇽,"[':prohibited:', ':SOON_arrow:', ':United_States:', ':Clipperton_Island:', ':Côte_d’Ivoire:', ':Ascension_Island:', ':Åland_Islands:']",Direct,DISTANCE,3
far country,🗺↔️,"[':world_map:', ':left-right_arrow:']",Direct,DISTANCE,4
far country,🗺️🛳️🛫,"[':world_map:', ':passenger_ship:', ':airplane_departure:']",Metaphorical,DISTANCE,2
far country,🌎⤴️↗️,"[':globe_showing_Americas:', ':right_arrow_curving_up:', ':up-right_arrow:']",Metaphorical,DISTANCE,4
average people,👧🧒👦,"[':girl:', ':child:', ':boy:']",Semantic list,COMMONNESS,1
average people,🧑‍🤝‍🧑👭👬🙆‍♀️,"[':people_holding_hands:', ':women_holding_hands:', ':men_holding_hands:', ':woman_gesturing_OK:']",Direct,COMMONNESS,2
average people,😕👨,"[':confused_face:', ':man:']",Direct,COMMONNESS,3
average people,👨🧑👩👧,"[':man:', ':person:', ':woman:', ':girl:']",Semantic list,COMMONNESS,1
average people,🧍‍♂️🧍‍♀️🧍,"[':man_standing:', ':woman_standing:', ':person_standing:']",Semantic list,COMMONNESS,1
average people,🙎‍♂️🙎‍♀️,"[':man_pouting:', ':woman_pouting:']",Semantic list,COMMONNESS,1
average people,👨🧑🤷,"[':man:', ':person:', ':person_shrugging:']",Metaphorical,COMMONNESS,2
average merit,📝👌,"[':memo:', ':OK_hand:']",Metaphorical,ORDINARINESS,3
average merit,🏆🏆🙆‍♀️,"[':trophy:', ':trophy:', ':woman_gesturing_OK:']",Metaphorical,ORDINARINESS,2
average merit,😐💯,"[':neutral_face:', ':hundred_points:']",Direct,ORDINARINESS,3
average merit,😐💼🥉,"[':neutral_face:', ':briefcase:', ':3rd_place_medal:']",Direct,ORDINARINESS,3
average merit,🥈,[':2nd_place_medal:'],Single,ORDINARINESS,1
average merit,🙆‍♂️🙆,"[':man_gesturing_OK:', ':person_gesturing_OK:']",Semantic list,ORDINARINESS,1
average merit,🏅🤷,"[':sports_medal:', ':person_shrugging:']",Direct,ORDINARINESS,3
average size,🧍,[':person_standing:'],Single,MODERATION,1
average size,👕👍👎,"[':t-shirt:', ':thumbs_up:', ':thumbs_down:']",Metaphorical,MODERATION,4
average size,🤨🤲,"[':face_with_raised_eyebrow:', ':palms_up_together:']",Metaphorical,MODERATION,3
average size,❌⬛❌▪,"[':cross_mark:', ':black_large_square:', ':cross_mark:', ':black_small_square:']",Metaphorical,MODERATION,4
average size,〰️⚖️,"[':wavy_dash:', ':balance_scale:']",Direct,MODERATION,3
average size,🧍‍♂️🧍,"[':man_standing:', ':person_standing:']",Semantic list,MODERATION,1
average size,🤷📏,"[':person_shrugging:', ':straight_ruler:']",Direct,MODERATION,3
dirty job,👎📝,"[':thumbs_down:', ':memo:']",Direct,CLEANNESS,3
dirty job,💩🧹,"[':pile_of_poo:', ':broom:']",Direct,CLEANNESS,4
dirty job,🪠🚽🧹,"[':plunger:', ':toilet:', ':broom:']",Metaphorical,CLEANNESS,2
dirty job,🦠💣🦹‍♂️🦠🦹💣🦠,"[':microbe:', ':bomb:', ':man_supervillain:', ':microbe:', ':supervillain:', ':bomb:', ':microbe:']",Metaphorical,CLEANNESS,2
dirty job,🤮🤢👷‍♂️,"[':face_vomiting:', ':nauseated_face:', ':man_construction_worker:']",Direct,CLEANNESS,3
dirty job,💩💼,"[':pile_of_poo:', ':briefcase:']",Direct,CLEANNESS,3
dirty job,🤢🧳,"[':nauseated_face:', ':luggage:']",Direct,CLEANNESS,3
dirty job,🚽👷🛠️,"[':toilet:', ':construction_worker:', ':hammer_and_wrench:']",Metaphorical,CLEANNESS,3
dirty foot,👎🦶,"[':thumbs_down:', ':foot:']",Direct,CLEANNESS,3
dirty foot,🤢🦶,"[':nauseated_face:', ':foot:']",Direct,CLEANNESS,3
dirty foot,🥵🦶💩,"[':hot_face:', ':foot:', ':pile_of_poo:']",Direct,CLEANNESS,3
dirty foot,🧼🦶,"[':soap:', ':foot:']",Metaphorical,CLEANNESS,4
dirty foot,🤮🦶,"[':face_vomiting:', ':foot:']",Direct,CLEANNESS,3
dirty foot,💩👣,"[':pile_of_poo:', ':footprints:']",Direct,CLEANNESS,3
dirty foot,😖🦶,"[':confounded_face:', ':foot:']",Direct,CLEANNESS,3
dirty foot,👃🦶🤢,"[':nose:', ':foot:', ':nauseated_face:']",Metaphorical,CLEANNESS,4
dirty dish,👎🐟,"[':thumbs_down:', ':fish:']",Direct,CLEANNESS,3
dirty dish,🍽️🪰,"[':fork_and_knife_with_plate:', ':fly:']",Metaphorical,CLEANNESS,4
dirty dish,🍽️😰👎,"[':fork_and_knife_with_plate:', ':anxious_face_with_sweat:', ':thumbs_down:']",Metaphorical,CLEANNESS,3
dirty dish,🧼🍽️,"[':soap:', ':fork_and_knife_with_plate:']",Metaphorical,CLEANNESS,4
dirty dish,🤮🍽,"[':face_vomiting:', ':fork_and_knife_with_plate:']",Direct,CLEANNESS,3
dirty dish,💩🍽️,"[':pile_of_poo:', ':fork_and_knife_with_plate:']",Direct,CLEANNESS,3
dirty dish,🤮🍽,"[':face_vomiting:', ':fork_and_knife_with_plate:']",Direct,CLEANNESS,3
dirty dish,🧼🍽️🧫,"[':soap:', ':fork_and_knife_with_plate:', ':petri_dish:']",Metaphorical,CLEANNESS,4
dirty slum,👎🏚️,"[':thumbs_down:', ':derelict_house:']",Direct,CLEANNESS,3
dirty slum,🪰🏠,"[':fly:', ':house:']",Metaphorical,CLEANNESS,4
dirty slum,🦠🛖🦠,"[':microbe:', ':hut:', ':microbe:']",Direct,CLEANNESS,2
dirty slum,🧼🦠🏚️,"[':soap:', ':microbe:', ':derelict_house:']",Metaphorical,CLEANNESS,4
dirty slum,🤮🛖,"[':face_vomiting:', ':hut:']",Direct,CLEANNESS,3
dirty slum,💩💸🏠,"[':pile_of_poo:', ':money_with_wings:', ':house:']",Direct,CLEANNESS,3
dirty slum,🥴🧟‍♂️,"[':woozy_face:', ':man_zombie:']",Metaphorical,CLEANNESS,3
dirty slum,😣🔞💸,"[':persevering_face:', ':no_one_under_eighteen:', ':money_with_wings:']",Metaphorical,CLEANNESS,3
dirty work,👎📝,"[':thumbs_down:', ':memo:']",Direct,CLEANNESS,3
dirty work,🚔📃,"[':oncoming_police_car:', ':page_with_curl:']",Metaphorical,CLEANNESS,4
dirty work,🪠🚽🧹💰👵👴,"[':plunger:', ':toilet:', ':broom:', ':money_bag:', ':old_woman:', ':old_man:']",Metaphorical,CLEANNESS,2
dirty work,🦠💼,"[':microbe:', ':briefcase:']",Metaphorical,CLEANNESS,3
dirty work,🤮🛠,"[':face_vomiting:', ':hammer_and_wrench:']",Direct,CLEANNESS,3
dirty work,💩⛑️💼,"[':pile_of_poo:', ':rescue_worker’s_helmet:', ':briefcase:']",Direct,CLEANNESS,3
dirty work,😒🧳,"[':unamused_face:', ':luggage:']",Direct,CLEANNESS,3
dirty work,🚽👷🛠️,"[':toilet:', ':construction_worker:', ':hammer_and_wrench:']",Metaphorical,CLEANNESS,3
dirty money,👎💰,"[':thumbs_down:', ':money_bag:']",Direct,LEGALITY,3
dirty money,🤑💸🦹,"[':money-mouth_face:', ':money_with_wings:', ':supervillain:']",Metaphorical,LEGALITY,3
dirty money,😈💵💵🚫👉👮,"[':smiling_face_with_horns:', ':dollar_banknote:', ':dollar_banknote:', ':prohibited:', ':backhand_index_pointing_right:', ':police_officer:']",Metaphorical,LEGALITY,5
dirty money,🦠🤐🤑💸🦠,"[':microbe:', ':zipper-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':microbe:']",Metaphorical,LEGALITY,3
dirty money,🤮💵,"[':face_vomiting:', ':dollar_banknote:']",Direct,LEGALITY,3
dirty money,💩💵💰,"[':pile_of_poo:', ':dollar_banknote:', ':money_bag:']",Direct,LEGALITY,2
dirty money,😒💰,"[':unamused_face:', ':money_bag:']",Metaphorical,LEGALITY,3
dirty money,🚓🛑💵💵💵,"[':police_car:', ':stop_sign:', ':dollar_banknote:', ':dollar_banknote:', ':dollar_banknote:']",Metaphorical,LEGALITY,4
dirty overall,👎🧥,"[':thumbs_down:', ':coat:']",Metaphorical,CLEANNESS,3
dirty overall,🤢🤮😒,"[':nauseated_face:', ':face_vomiting:', ':unamused_face:']",Semantic list,CLEANNESS,1
dirty overall,😵‍💫😖👉🛁,"[':face_with_spiral_eyes:', ':confounded_face:', ':backhand_index_pointing_right:', ':bathtub:']",Metaphorical,CLEANNESS,4
dirty overall,🧼👕,"[':soap:', ':t-shirt:']",Metaphorical,CLEANNESS,4
dirty overall,🤮👗👚,"[':face_vomiting:', ':dress:', ':woman’s_clothes:']",Direct,CLEANNESS,2
dirty overall,💩👘,"[':pile_of_poo:', ':kimono:']",Direct,CLEANNESS,3
dirty overall,🧍‍♂️🤢,"[':man_standing:', ':nauseated_face:']",Direct,CLEANNESS,3
dirty overall,💩👖,"[':pile_of_poo:', ':jeans:']",Direct,CLEANNESS,3
dirty fighter,👎🥊,"[':thumbs_down:', ':boxing_glove:']",Direct,FAIRNESS,3
dirty fighter,🤬😡,"[':face_with_symbols_on_mouth:', ':pouting_face:']",Metaphorical,FAIRNESS,2
dirty fighter,❌⚖️ 💪👨‍🦲💢,"[':cross_mark:', ':balance_scale:', ':flexed_biceps:', ':man_bald:', ':anger_symbol:']",Metaphorical,FAIRNESS,4
dirty fighter,🤬🤼‍♂️,"[':face_with_symbols_on_mouth:', ':men_wrestling:']",Direct,FAIRNESS,3
dirty fighter,🤮🥋,"[':face_vomiting:', ':martial_arts_uniform:']",Direct,FAIRNESS,3
dirty fighter,💩👊🥊,"[':pile_of_poo:', ':oncoming_fist:', ':boxing_glove:']",Direct,FAIRNESS,3
dirty fighter,😑😒🥊,"[':expressionless_face:', ':unamused_face:', ':boxing_glove:']",Metaphorical,FAIRNESS,3
dirty fighter,👿👊🥊🤼,"[':angry_face_with_horns:', ':oncoming_fist:', ':boxing_glove:', ':people_wrestling:']",Metaphorical,FAIRNESS,3
common procedure,🖥,[':desktop_computer:'],Single,COMMONNESS,1
common procedure,😬📋1️⃣2️⃣3️⃣,"[':grimacing_face:', ':clipboard:', ':keycap_1:', ':keycap_2:', ':keycap_3:']",Metaphorical,COMMONNESS,4
common procedure,👥🔃,"[':busts_in_silhouette:', ':clockwise_vertical_arrows:']",Direct,COMMONNESS,3
common procedure,▶️🪜,"[':play_button:', ':ladder:']",Metaphorical,COMMONNESS,3
common procedure,🤲✍️,"[':palms_up_together:', ':writing_hand:']",Metaphorical,COMMONNESS,3
common procedure,🪛🔧🤝,"[':screwdriver:', ':wrench:', ':handshake:']",Metaphorical,COMMONNESS,3
common procedure,👥💉🩺🩹🩸🧑‍⚕️👥,"[':busts_in_silhouette:', ':syringe:', ':stethoscope:', ':adhesive_bandage:', ':drop_of_blood:', ':health_worker:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS,3
common procedure,🔄🧑‍⚕️💉,"[':counterclockwise_arrows_button:', ':health_worker:', ':syringe:']",Metaphorical,COMMONNESS,3
common knowledge,🧐🧠,"[':face_with_monocle:', ':brain:']",Metaphorical,COMMONNESS,3
common knowledge,🧠🤔😒,"[':brain:', ':thinking_face:', ':unamused_face:']",Metaphorical,COMMONNESS,2
common knowledge,👥📚,"[':busts_in_silhouette:', ':books:']",Direct,COMMONNESS,3
common knowledge,▶️🧠,"[':play_button:', ':brain:']",Direct,COMMONNESS,3
common knowledge,🤲🧠,"[':palms_up_together:', ':brain:']",Direct,COMMONNESS,3
common knowledge,🥸👫🤲,"[':disguised_face:', ':woman_and_man_holding_hands:', ':palms_up_together:']",Metaphorical,COMMONNESS,2
common knowledge,👥📚📖👥,"[':busts_in_silhouette:', ':books:', ':open_book:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS,3
common knowledge,🧠🧠🌎,"[':brain:', ':brain:', ':globe_showing_Americas:']",Direct,COMMONNESS,2
common land,🏞,[':national_park:'],Single,COMMONALITY,1
common land,🌆🏙️🌉🏝️,"[':cityscape_at_dusk:', ':cityscape:', ':bridge_at_night:', ':desert_island:']",Semantic list,COMMONALITY,1
common land,👥⛰,"[':busts_in_silhouette:', ':mountain:']",Direct,COMMONALITY,3
common land,▶️🧱,"[':play_button:', ':brick:']",Metaphorical,COMMONALITY,3
common land,🤲🌆,"[':palms_up_together:', ':cityscape_at_dusk:']",Direct,COMMONALITY,3
common land,🤝🏝️,"[':handshake:', ':desert_island:']",Direct,COMMONALITY,3
common land,👥🏝️🙌👥,"[':busts_in_silhouette:', ':desert_island:', ':raising_hands:', ':busts_in_silhouette:']",Direct,COMMONALITY,3
common land,🌎🇦🇽🇮🇴🇻🇬🇧🇶🇧🇶🇰🇾,"[':globe_showing_Americas:', ':Åland_Islands:', ':British_Indian_Ocean_Territory:', ':British_Virgin_Islands:', ':Caribbean_Netherlands:', ':Caribbean_Netherlands:', ':Cayman_Islands:']",Semantic list,COMMONALITY,1
common nuisance,🤬,[':face_with_symbols_on_mouth:'],Single,COMMONNESS,1
common nuisance,😒😒,"[':unamused_face:', ':unamused_face:']",Reduplication,COMMONNESS,1
common nuisance,👥😩,"[':busts_in_silhouette:', ':weary_face:']",Direct,COMMONNESS,3
common nuisance,🤒🤕,"[':face_with_thermometer:', ':face_with_head-bandage:']",Semantic list,COMMONNESS,1
common nuisance,🤲🙅‍♂️,"[':palms_up_together:', ':man_gesturing_NO:']",Direct,COMMONNESS,3
common nuisance,😒💢🙍‍♂️,"[':unamused_face:', ':anger_symbol:', ':man_frowning:']",Semantic list,COMMONNESS,2
common nuisance,👥🪰🪳🕷️👥,"[':busts_in_silhouette:', ':fly:', ':cockroach:', ':spider:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS,2
common nuisance,😝😝🔄,"[':squinting_face_with_tongue:', ':squinting_face_with_tongue:', ':counterclockwise_arrows_button:']",Metaphorical,COMMONNESS,2
common sailor,⛵️👨🏻⚓️,"[':sailboat:', '', ':man_light_skin_tone:', ':anchor:', '']",Metaphorical,COMMONNESS,3
common sailor,🚢⚓👬,"[':ship:', ':anchor:', ':men_holding_hands:']",Metaphorical,COMMONNESS,3
common sailor,👥👱‍♂️⛵️,"[':busts_in_silhouette:', ':man_blond_hair:', ':sailboat:', '']",Direct,COMMONNESS,3
common sailor,▶️⛵,"[':play_button:', ':sailboat:']",Metaphorical,COMMONNESS,3
common sailor,🤲⛵👨,"[':palms_up_together:', ':sailboat:', ':man:']",Direct,COMMONNESS,3
common sailor,🚤👦,"[':speedboat:', ':boy:']",Metaphorical,COMMONNESS,3
common sailor,👨‍✈️⚓,"[':man_pilot:', ':anchor:']",Metaphorical,COMMONNESS,3
common sailor,🧑‍✈️🚤,"[':pilot:', ':speedboat:']",Metaphorical,COMMONNESS,3
common housefly,🪰,[':fly:'],Single,COMMONNESS,1
common housefly,🪰😐,"[':fly:', ':neutral_face:']",Direct,COMMONNESS,3
common housefly,👥🪰,"[':busts_in_silhouette:', ':fly:']",Direct,COMMONNESS,3
